repo_name	repo_path	branch	default_branch	stable_branches	dirty	today_commits	jagg_remote	push_status
ACL2Lean	/Users/macbookpro/lab/tau/tau-information-dynamics/ACL2Lean	main	main	main	no	0	none	NO_JAGG_REMOTE
AnalysisToolbox	/Users/macbookpro/lab/tau/tau-information-dynamics/AnalysisToolbox	main	main	main	no	0	none	NO_JAGG_REMOTE
Cook-Levin-Lean	/Users/macbookpro/lab/tau/tau-information-dynamics/Cook-Levin-Lean	main	main	main	no	0	none	NO_JAGG_REMOTE
DeGiorgi	/Users/macbookpro/lab/tau/tau-information-dynamics/DeGiorgi	main	main	main	yes	0	none	NO_JAGG_REMOTE
DemazureOperatorsLean	/Users/macbookpro/lab/tau/tau-information-dynamics/DemazureOperatorsLean	master	master	master	no	0	none	NO_JAGG_REMOTE
ETG-Simulation-PoC	/Users/macbookpro/lab/tau/tau-information-dynamics/ETG-Simulation-PoC	main	main	main	no	0	none	NO_JAGG_REMOTE
Einstein-Tensor-Cycle-Cosmology	/Users/macbookpro/lab/tau/tau-information-dynamics/Einstein-Tensor-Cycle-Cosmology	main	main	main	yes	0	none	NO_JAGG_REMOTE
ElectroweakInteraction_HiggsMechanism	/Users/macbookpro/lab/tau/tau-information-dynamics/ElectroweakInteraction_HiggsMechanism	main	main	main	no	0	none	NO_JAGG_REMOTE
FermionBosonDuality_QFT	/Users/macbookpro/lab/tau/tau-information-dynamics/FermionBosonDuality_QFT	main	main	main	no	0	none	NO_JAGG_REMOTE
Formal-Verification-of-the-Vlasov-Maxwell-Landau-Steady-State-Theorem	/Users/macbookpro/lab/tau/tau-information-dynamics/Formal-Verification-of-the-Vlasov-Maxwell-Landau-Steady-State-Theorem	main	main	main	no	1	jagg:https://github.com/jagg-ix/aristotle.git	SKIPPED_FETCH
Foundation	/Users/macbookpro/lab/tau/tau-information-dynamics/Foundation	master	master	master	no	0	none	NO_JAGG_REMOTE
Gaugefields.jl	/Users/macbookpro/lab/tau/tau-information-dynamics/Gaugefields.jl	master	master	master	no	0	none	NO_JAGG_REMOTE
Geometric-Algebra	/Users/macbookpro/lab/tau/tau-information-dynamics/Geometric-Algebra	master	master	master	no	0	none	NO_JAGG_REMOTE
HiggsML-ATLAS-Classification	/Users/macbookpro/lab/tau/tau-information-dynamics/HiggsML-ATLAS-Classification	master	master	master	no	0	none	NO_JAGG_REMOTE
HillWheeler-Statistical-Fission	/Users/macbookpro/lab/tau/tau-information-dynamics/HillWheeler-Statistical-Fission	main	main	main	no	0	none	NO_JAGG_REMOTE
Hopf-algebra-Representation-theory-Fusion-category	/Users/macbookpro/lab/tau/tau-information-dynamics/Hopf-algebra-Representation-theory-Fusion-category	main	main	main	no	0	none	NO_JAGG_REMOTE
Hopf-algebras-and-solvable-unitary-circuits	/Users/macbookpro/lab/tau/tau-information-dynamics/Hopf-algebras-and-solvable-unitary-circuits	main	main	main	no	0	none	NO_JAGG_REMOTE
Jecco.jl	/Users/macbookpro/lab/tau/tau-information-dynamics/Jecco.jl	master	master	master	no	0	none	NO_JAGG_REMOTE
Kranc	/Users/macbookpro/lab/tau/tau-information-dynamics/Kranc	master	master	master	no	0	none	NO_JAGG_REMOTE
LatticeDiracOperators.jl	/Users/macbookpro/lab/tau/tau-information-dynamics/LatticeDiracOperators.jl	master	master	master	no	0	none	NO_JAGG_REMOTE
