delta_z_um,visibility_meas,err,visibility_pred,visibility_pred_classical,visibility_pred_qutip,d_phi_final_rad,residual_meas_minus_pred,status
0.05,1.0,0.03,0.9912386066707672,1.0,0.9912386066707672,0.0,0.008761393329232758,not_available
0.2,0.98,0.03,0.9912386066707672,1.0,0.9912386066707672,0.0,-0.01123860667076726,not_available
0.4,0.95,0.04,0.9912386066707672,1.0,0.9912386066707672,0.0,-0.041238606670767286,not_available
0.6,0.9,0.04,0.9912386066707672,1.0,0.9912386066707672,0.0,-0.09123860667076722,not_available
0.8,0.82,0.05,0.9912386066707672,1.0,0.9912386066707672,0.0,-0.1712386066707673,not_available
1.0,0.7,0.05,0.9912386066707672,1.0,0.9912386066707672,0.0,-0.2912386066707673,not_available
1.2,0.55,0.06,0.9912386066707672,1.0,0.9912386066707672,0.0,-0.4412386066707672,not_available
1.4,0.38,0.06,0.9912386066707672,1.0,0.9912386066707672,0.0,-0.6112386066707672,not_available
1.6,0.22,0.07,0.9912386066707672,1.0,0.9912386066707672,0.0,-0.7712386066707673,not_available
1.8,0.1,0.07,0.9912386066707672,1.0,0.9912386066707672,0.0,-0.8912386066707673,not_available
2.0,0.02,0.08,0.9912386066707672,1.0,0.9912386066707672,0.0,-0.9712386066707672,not_available
