step,t_s,tau_ent_s,lambda_s_inv,dt_s,dtau_s,passed_cfl,n_reductions
0,1e-27,1e-15,1000000000000.0,1e-27,1e-15,1,0
1,2e-27,2e-15,1000000000000.0,1e-27,1e-15,1,0
2,3e-27,3.0000000000000002e-15,1000000000000.0,1e-27,1e-15,1,0
3,4e-27,4e-15,1000000000000.0,1e-27,1e-15,1,0
4,5e-27,5.000000000000001e-15,1000000000000.0,1e-27,1e-15,1,0
5,6e-27,6.000000000000001e-15,1000000000000.0,1e-27,1e-15,1,0
6,7e-27,7.000000000000002e-15,1000000000000.0,1e-27,1e-15,1,0
7,8e-27,8.000000000000002e-15,1000000000000.0,1e-27,1e-15,1,0
8,9e-27,9.000000000000003e-15,1000000000000.0,1e-27,1e-15,1,0
9,1e-26,1.0000000000000003e-14,1000000000000.0,1e-27,1e-15,1,0
10,1.1e-26,1.1000000000000004e-14,1000000000000.0,1e-27,1e-15,1,0
11,1.2e-26,1.2000000000000004e-14,1000000000000.0,1e-27,1e-15,1,0
12,1.3e-26,1.3000000000000005e-14,1000000000000.0,1e-27,1e-15,1,0
13,1.4e-26,1.4000000000000005e-14,1000000000000.0,1e-27,1e-15,1,0
14,1.5e-26,1.5000000000000006e-14,1000000000000.0,1e-27,1e-15,1,0
15,1.6e-26,1.6000000000000004e-14,1000000000000.0,1e-27,1e-15,1,0
16,1.7e-26,1.7000000000000003e-14,1000000000000.0,1e-27,1e-15,1,0
17,1.8e-26,1.8000000000000002e-14,1000000000000.0,1e-27,1e-15,1,0
18,1.9e-26,1.9e-14,1000000000000.0,1e-27,1e-15,1,0
19,2e-26,2e-14,1000000000000.0,1e-27,1e-15,1,0
20,2.1e-26,2.1e-14,1000000000000.0,1e-27,1e-15,1,0
21,2.2e-26,2.1999999999999998e-14,1000000000000.0,1e-27,1e-15,1,0
22,2.3e-26,2.2999999999999997e-14,1000000000000.0,1e-27,1e-15,1,0
23,2.4e-26,2.3999999999999996e-14,1000000000000.0,1e-27,1e-15,1,0
24,2.5e-26,2.4999999999999994e-14,1000000000000.0,1e-27,1e-15,1,0
25,2.6e-26,2.5999999999999993e-14,1000000000000.0,1e-27,1e-15,1,0
26,2.7000000000000004e-26,2.6999999999999992e-14,1000000000000.0,1e-27,1e-15,1,0
27,2.8e-26,2.799999999999999e-14,1000000000000.0,1e-27,1e-15,1,0
28,2.9e-26,2.899999999999999e-14,1000000000000.0,1e-27,1e-15,1,0
29,2.9999999999999995e-26,2.999999999999999e-14,1000000000000.0,1e-27,1e-15,1,0
30,3.099999999999999e-26,3.0999999999999994e-14,1000000000000.0,1e-27,1e-15,1,0
31,3.199999999999999e-26,3.1999999999999996e-14,1000000000000.0,1e-27,1e-15,1,0
32,3.2999999999999987e-26,3.3e-14,1000000000000.0,1e-27,1e-15,1,0
33,3.3999999999999984e-26,3.4e-14,1000000000000.0,1e-27,1e-15,1,0
34,3.499999999999998e-26,3.5e-14,1000000000000.0,1e-27,1e-15,1,0
35,3.599999999999998e-26,3.6000000000000004e-14,1000000000000.0,1e-27,1e-15,1,0
36,3.6999999999999976e-26,3.7000000000000006e-14,1000000000000.0,1e-27,1e-15,1,0
37,3.799999999999997e-26,3.800000000000001e-14,1000000000000.0,1e-27,1e-15,1,0
38,3.899999999999997e-26,3.900000000000001e-14,1000000000000.0,1e-27,1e-15,1,0
39,3.9999999999999967e-26,4.000000000000001e-14,1000000000000.0,1e-27,1e-15,1,0
40,4.0999999999999964e-26,4.1000000000000015e-14,1000000000000.0,1e-27,1e-15,1,0
41,4.199999999999996e-26,4.2000000000000017e-14,1000000000000.0,1e-27,1e-15,1,0
42,4.299999999999996e-26,4.300000000000002e-14,1000000000000.0,1e-27,1e-15,1,0
43,4.3999999999999956e-26,4.400000000000002e-14,1000000000000.0,1e-27,1e-15,1,0
44,4.4999999999999953e-26,4.500000000000002e-14,1000000000000.0,1e-27,1e-15,1,0
45,4.599999999999995e-26,4.6000000000000025e-14,1000000000000.0,1e-27,1e-15,1,0
46,4.699999999999995e-26,4.700000000000003e-14,1000000000000.0,1e-27,1e-15,1,0
47,4.7999999999999944e-26,4.800000000000003e-14,1000000000000.0,1e-27,1e-15,1,0
48,4.899999999999994e-26,4.900000000000003e-14,1000000000000.0,1e-27,1e-15,1,0
49,4.999999999999994e-26,5.000000000000003e-14,1000000000000.0,1e-27,1e-15,1,0
