freq_THz,vg_m_per_s,lambda_geom_inv_s
190.0,1267777975.1198843,14645602152.022808
190.05,1265749744.9454806,14669070181.406708
190.1,1261864605.153747,14714234605.57452
190.15,1257991612.8724601,14759535477.590918
190.2,1254130710.4581716,14804973425.712282
190.25,1250281840.6607974,14850549081.709202
190.3,1246444946.6135216,14896263080.97182
190.35,1242619971.8344803,14942116062.477152
190.4,1238806860.224624,14988108668.801048
190.45,1235005556.0575883,15034241546.227585
190.5,1231216003.986357,15080515344.656483
190.55,1227438149.0329216,15126930717.716263
190.6,1223671936.5875986,15173488322.761513
190.65,1219917312.404405,15220188820.91885
190.7,1216174222.603998,15267032877.039255
190.75,1212442613.6633916,15314021159.815258
190.8,1208722432.415414,15361154341.778324
190.85,1205013626.0487072,15408433099.28878
190.9,1201316142.1015522,15455858112.604399
190.95,1197629928.4596088,15503430065.900442
191.0,1193954933.3554182,15551149647.267073
191.05,1190291105.362126,15599017548.781971
191.1,1186638393.3942094,15647034466.49285
191.15,1182996746.7018912,15695201100.48263
191.2,1179366114.8699203,15743518154.878315
191.25,1175746447.814097,15791986337.88998
191.3,1172137695.7812066,15840606361.804708
191.35,1168539809.3422673,15889378943.070719
191.4,1164952739.3920069,15938304802.29891
191.45,1161376437.1480327,15987384664.268196
191.5,1157810854.1464515,16036619257.979687
191.55,1154255942.237586,16086009316.711044
191.6,1150711653.587168,16135555577.995535
191.65,1147177940.671561,16185258783.68399
191.7,1143654756.2770896,16235119679.950258
191.75,1140142053.4932709,16285139017.383398
191.8,1136639785.71725,16335317550.921717
191.85,1133147906.646308,16385656039.956284
191.9,1129666370.276278,16436155248.351728
191.95,1126195130.9007523,16486815944.455698
192.0,1122734143.1087308,16537638901.130972
192.05,1119283361.7787437,16588624895.840479
192.1,1115842742.0822482,16639774710.596542
192.15,1112412239.4780567,16691089132.04218
192.2,1108991809.7091668,16742568951.49856
192.25,1105581408.803889,16794214964.948298
192.3,1102180993.0702178,16846027973.120747
192.35,1098790519.0957654,16898008781.494274
192.4,1095409943.745702,16950158200.328775
192.45,1092039224.15903,17002477044.724714
192.5,1088678317.7492907,17054966134.614185
192.55,1085327182.1982534,17107626294.861607
192.6,1081985775.4569368,17160458355.251158
192.65,1078654055.7460897,17213463150.48165
192.7,1075331981.5464735,17266641520.324253
192.75,1072019511.6030442,17319994309.56082
192.8,1068716604.923127,17373522368.016773
192.85,1065423220.7704502,17427226550.662266
192.9,1062139318.6662563,17481107717.599808
192.95,1058864858.387597,17535166734.09735
193.0,1055599799.9617826,17589404470.685875
193.05,1052344103.6684564,17643821803.13198
193.1,1049097730.0372921,17698419612.48251
193.15,1045860639.8441721,17753198785.135788
193.2,1042632794.1108013,17808160212.856037
193.25,1039414154.1016501,17863304792.833412
193.3,1036204681.3227314,17918633427.71368
193.35,1033004337.5214789,17974147025.60901
193.4,1029813084.6824791,18029846500.1809
193.45,1026630885.0276304,18085732770.647335
193.5,1023457701.0117712,18141806761.86963
193.55,1020293495.3237531,18198069404.344494
193.6,1017138230.8842779,18254521634.253017
193.65,1013991870.8427198,18311164393.528828
193.7,1010854378.5767578,18367998629.876842
193.75,1007725717.6890776,18425025296.845352
193.8,1004605852.0087168,18482245353.81443
