slit_separation_fs,visibility_used,Vcl,q_scalar,eta_00,eta_01,eta_10,eta_11,C_00,C_01,C_10,C_11
800,0.413450559525,0.137707086628,0,1,0,0,1,0,1,1,0
500,0.162279627014,0.137707086628,0,1,0,0,1,0,1,1,0
-1300,0.161780480121,0.137707086628,0,1,0,0,1,0,1,1,0
-1200,0.14304446847,0.137707086628,0,1,0,0,1,0,1,1,0
-1100,0.179385724266,0.137707086628,0,1,0,0,1,0,1,1,0
-1000,0.155740740467,0.137707086628,0,1,0,0,1,0,1,1,0
-900,0.14928187824,0.137707086628,0,1,0,0,1,0,1,1,0
-800,0.125990823885,0.137707086628,0,1,0,0,1,0,1,1,0
-700,0.108940495552,0.137707086628,0,1,0,0,1,0,1,1,0
-600,0.146092375192,0.137707086628,0,1,0,0,1,0,1,1,0
-500,0.0922680643944,0.137707086628,0,1,0,0,1,0,1,1,0
-400,0.108392924163,0.137707086628,0,1,0,0,1,0,1,1,0
-300,0.0888559237167,0.137707086628,0,1,0,0,1,0,1,1,0
-200,0.109502292092,0.137707086628,0,1,0,0,1,0,1,1,0
-100,0.133285209989,0.137707086628,0,1,0,0,1,0,1,1,0
0,0.12812016208,0.137707086628,0,1,0,0,1,0,1,1,0
99.9999999999,0.168625827998,0.137707086628,0,1,0,0,1,0,1,1,0
200,0.108520160934,0.137707086628,0,1,0,0,1,0,1,1,0
300,0.103666600174,0.137707086628,0,1,0,0,1,0,1,1,0
400,0.168657089766,0.137707086628,0,1,0,0,1,0,1,1,0
500,0.154068232638,0.137707086628,0,1,0,0,1,0,1,1,0
600,0.150037265067,0.137707086628,0,1,0,0,1,0,1,1,0
700,0.138779704057,0.137707086628,0,1,0,0,1,0,1,1,0
800,0.181746749042,0.137707086628,0,1,0,0,1,0,1,1,0
900,0.101753094583,0.137707086628,0,1,0,0,1,0,1,1,0
1000,0.156105787511,0.137707086628,0,1,0,0,1,0,1,1,0
1100,0.148856231168,0.137707086628,0,1,0,0,1,0,1,1,0
1200,0.163338180909,0.137707086628,0,1,0,0,1,0,1,1,0
1300,0.133930341856,0.137707086628,0,1,0,0,1,0,1,1,0
