S_fs,decay_tau_fs,rise_10_90_fs,beta_eff_inv_s,alpha_eff_inv_s,nu_rta_inv_s,lambda_ent_inv_s,beta_over_lambda
-1500.0,396.085299651785,821.6811974523007,2524708695018.829,5348119402388.467,2524708695018.829,1525423728813.5593,1.6550868111790102
-1450.0,394.6188080375536,820.1528197308944,2534091076330.137,5358085772495.824,2534091076330.137,1525423728813.5593,1.6612374833719787
-1400.0,392.65062735870026,818.1331754981074,2546793333113.5737,5371312747459.418,2546793333113.5737,1525423728813.5593,1.6695645183744539
-1350.0,390.16255690353694,815.5867684958212,2563034259197.8604,5388082941533.098,2563034259197.8604,1525423728813.5593,1.6802113476963751
-1300.0,387.179252732945,812.5218674426142,2582783020891.218,5408407245092.15,2582783020891.218,1525423728813.5593,1.6931577581397983
-1250.0,383.7734219961194,809.0057269581594,2605704154286.4106,5431913530693.353,2605704154286.4106,1525423728813.5593,1.708183834476647
-1200.0,380.0951849267672,805.2063176018419,2630919937048.583,5457544307104.41,2630919937048.583,1525423728813.5593,1.7247141809540711
-1150.0,376.3617039525791,801.3862897856161,2657018473181.3154,5483559190721.898,2657018473181.3154,1525423728813.5593,1.7418232213077511
-1100.0,372.8711551916036,797.9103066349053,2681891549069.1147,5507447539066.791,2681891549069.1147,1525423728813.5593,1.758128904389753
-1050.0,370.00524887084,795.2266254677961,2702664362334.698,5526033729174.222,2702664362334.698,1525423728813.5593,1.7717466375305244
-1000.0,368.1118563075361,793.7151856906712,2716565584251.538,5536556732058.109,2716565584251.538,1525423728813.5593,1.7808596607871194
-950.0,367.59438910549846,793.7722254639375,2720389727474.8745,5536158879965.856,2720389727474.8745,1525423728813.5593,1.7833665991224177
-900.0,368.6634397654042,795.5522164404101,2712501138264.0527,5523772121878.814,2712501138264.0527,1525423728813.5593,1.778195190639768
-850.0,371.5006349191759,799.1622404733498,2691785439929.493,5498819804185.909,2691785439929.493,1525423728813.5593,1.7646148995093345
-800.0,376.1368785504614,804.529497682146,2658606632388.0625,5462135530559.004,2658606632388.0625,1525423728813.5593,1.742864347898841
-750.0,382.6800684577605,811.6079702722782,2613148900150.722,5414497288879.739,2613148900150.722,1525423728813.5593,1.7130642789876955
