figure_ref,experiments,experiments_with_slit_sep,spectra_rows,spectra_distinct_S,time_domain_rows,time_domain_distinct_S
Extended_Fig_1a,1,0,0,0,1100,0
Extended_Fig_1b,1,0,0,0,2376,24
Extended_Fig_1c,1,0,0,0,0,0
Extended_Fig_2a,1,0,0,0,0,0
Extended_Fig_2b,1,0,0,0,0,0
Extended_Fig_3a,1,0,0,0,0,0
Extended_Fig_3b,1,0,0,0,0,0
Extended_Fig_3c,1,0,0,0,0,0
Extended_Fig_3d,1,0,0,0,0,0
Fig_1d,1,0,0,0,0,0
Fig_2a,1,1,680,1,0,0
Fig_2b,1,1,510,1,0,0
Fig_2c,1,0,680,0,0,0
Fig_2d,1,0,680,0,0,0
Fig_2e,1,0,0,0,0,0
Fig_2f,1,0,17280,27,0,0
Fig_2g,1,0,0,0,14640,61
