detuning_THz,data,std_pred,cat_pred
-10.106838288,6.491696351e-04,1.207132608e+00,1.207575166e+00
-10.075214766,1.636610428e-04,1.209064310e+00,1.209352708e+00
-10.043580845,3.663264013e-04,1.210841705e+00,1.210976360e+00
-10.011936518,1.796671648e-03,1.212463944e+00,1.212445339e+00
-9.980281781,-3.496643635e-04,1.213930237e+00,1.213758923e+00
-9.948616631,2.017102366e-03,1.215239859e+00,1.214916449e+00
-9.916941061,2.770320911e-04,1.216392143e+00,1.215917318e+00
-9.885255067,-3.174062095e-04,1.217386488e+00,1.216760992e+00
-9.853558646,-9.162858502e-04,1.218222355e+00,1.217446997e+00
-9.821851791,1.096342450e-03,1.218899270e+00,1.217974920e+00
-9.790134498,5.407074364e-04,1.219416820e+00,1.218344414e+00
-9.758406764,3.603095543e-05,1.219774660e+00,1.218555196e+00
-9.726668582,1.587521933e-04,1.219972509e+00,1.218607047e+00
-9.694919948,2.235022559e-04,1.220010151e+00,1.218499812e+00
-9.663160859,1.023644727e-03,1.219887438e+00,1.218233403e+00
-9.631391308,7.199973210e-04,1.219604286e+00,1.217807797e+00
-9.599611291,5.231758310e-04,1.219160679e+00,1.217223038e+00
-9.567820804,1.458428541e-03,1.218556667e+00,1.216479235e+00
-9.536019842,1.168338910e-03,1.217792370e+00,1.215576564e+00
-9.504208400,2.386668608e-03,1.216867971e+00,1.214515267e+00
-9.472386473,1.157413213e-04,1.215783725e+00,1.213295655e+00
-9.440554057,-3.604170815e-04,1.214539952e+00,1.211918104e+00
-9.408711148,2.282413995e-03,1.213137042e+00,1.210383059e+00
-9.376857739,1.228881387e-03,1.211575453e+00,1.208691030e+00
-9.344993828,1.436221840e-03,1.209855710e+00,1.206842597e+00
-9.313119408,8.399135020e-04,1.207978408e+00,1.204838407e+00
-9.281234475,1.212986065e-03,1.205944210e+00,1.202679173e+00
-9.249339025,-1.112873585e-03,1.203753847e+00,1.200365677e+00
-9.217433053,-1.189077630e-03,1.201408119e+00,1.197898768e+00
-9.185516554,8.289270292e-04,1.198907895e+00,1.195279362e+00
-9.153589523,1.117146622e-03,1.196254111e+00,1.192508444e+00
-9.121651956,1.109198961e-03,1.193447772e+00,1.189587065e+00
-9.089703848,1.089329808e-03,1.190489951e+00,1.186516341e+00
-9.057745193,1.047253955e-03,1.187381789e+00,1.183297460e+00
-9.025775989,1.595642572e-03,1.184124496e+00,1.179931671e+00
-8.993796228,1.113172792e-03,1.180719347e+00,1.176420293e+00
-8.961805908,8.782492791e-04,1.177167687e+00,1.172764710e+00
-8.929805023,2.145667473e-03,1.173470926e+00,1.168966372e+00
-8.897793569,6.935830355e-04,1.169630542e+00,1.165026794e+00
-8.865771540,9.750237409e-04,1.165648078e+00,1.160947557e+00
-8.833738932,1.569929551e-03,1.161525143e+00,1.156730305e+00
-8.801695740,9.998017433e-04,1.157263413e+00,1.152376749e+00
-8.769641959,1.962403757e-03,1.152864629e+00,1.147888661e+00
-8.737577585,6.089638201e-04,1.148330595e+00,1.143267877e+00
-8.705502613,2.222806536e-03,1.143663179e+00,1.138516297e+00
-8.673417038,1.411443838e-03,1.138864314e+00,1.133635882e+00
-8.641320856,2.183068231e-03,1.133935996e+00,1.128628656e+00
-8.609214061,3.489990975e-03,1.128880283e+00,1.123496701e+00
-8.577096649,1.315370641e-03,1.123699292e+00,1.118242163e+00
-8.544968614,4.266351239e-04,1.118395206e+00,1.112867246e+00
-8.512829953,5.465513048e-04,1.112970265e+00,1.107374212e+00
-8.480680661,2.036331031e-04,1.107426769e+00,1.101765382e+00
-8.448520732,8.946121108e-04,1.101767078e+00,1.096043136e+00
-8.416350161,1.065486825e-03,1.095993609e+00,1.090209908e+00
-8.384168945,5.991461211e-04,1.090108836e+00,1.084268190e+00
-8.351977079,1.805320573e-03,1.084115290e+00,1.078220528e+00
-8.319774556,4.834375254e-04,1.078015559e+00,1.072069522e+00
-8.287561373,1.543749020e-03,1.071812283e+00,1.065817824e+00
-8.255337525,1.171611476e-03,1.065508156e+00,1.059468142e+00
-8.223103007,2.141693642e-03,1.059105928e+00,1.053023232e+00
-8.190857815,1.252023106e-03,1.052608396e+00,1.046485900e+00
-8.158601943,1.729116528e-03,1.046018410e+00,1.039859003e+00
-8.126335386,2.095176449e-03,1.039338871e+00,1.033145446e+00
-8.094058140,1.359082777e-03,1.032572726e+00,1.026348180e+00
-8.061770200,1.958897436e-03,1.025722971e+00,1.019470203e+00
-8.029471561,2.247584539e-03,1.018792647e+00,1.012514557e+00
-7.997162218,1.433650538e-03,1.011784842e+00,1.005484328e+00
-7.964842167,2.012193517e-03,1.004702687e+00,9.983826454e-01
-7.932511403,2.046087954e-03,9.975493549e-01,9.912126784e-01
-7.900169920,2.299478091e-03,9.903280616e-01,9.839776373e-01
-7.867817714,1.911912734e-03,9.830420624e-01,9.766807709e-01
-7.835454780,2.506584789e-03,9.756946518e-01,9.693253655e-01
-7.803081114,2.219066461e-03,9.682891619e-01,9.619147437e-01
-7.770696710,1.986012986e-03,9.608289611e-01,9.544522630e-01
-7.738301563,3.587700456e-03,9.533174528e-01,9.469413142e-01
-7.705895670,2.932018414e-03,9.457580739e-01,9.393853207e-01
-7.673479024,3.016403874e-03,9.381542937e-01,9.317877362e-01
-7.641051620,3.134450017e-03,9.305096120e-01,9.241520442e-01
-7.608613456,1.903497563e-03,9.228275580e-01,9.164817558e-01
-7.576164524,1.978766589e-03,9.151116887e-01,9.087804088e-01
-7.543704821,2.295738015e-03,9.073655875e-01,9.010515657e-01
-7.511234341,1.764413494e-03,8.995928628e-01,8.932988130e-01
-7.478753080,6.896092049e-04,8.917971459e-01,8.855257586e-01
-7.446261032,1.163196306e-03,8.839820904e-01,8.777360314e-01
-7.413758193,2.732158112e-03,8.761513697e-01,8.699332788e-01
-7.381244559,1.309059263e-03,8.683086760e-01,8.621211659e-01
-7.348720123,1.875680749e-03,8.604577188e-01,8.543033735e-01
-7.316184882,3.652918028e-03,8.526022227e-01,8.464835964e-01
-7.283638830,4.057547481e-03,8.447459262e-01,8.386655423e-01
-7.251081962,8.478611631e-04,8.368925802e-01,8.308529297e-01
-7.218514274,2.878488579e-03,8.290459460e-01,8.230494864e-01
-7.185935761,3.092841674e-03,8.212097936e-01,8.152589481e-01
-7.153346417,4.040950894e-03,8.133879007e-01,8.074850565e-01
-7.120746238,2.663667974e-03,8.055840499e-01,7.997315576e-01
-7.088135219,2.321918546e-03,7.978020282e-01,7.920022002e-01
-7.055513354,2.422666838e-03,7.900456244e-01,7.843007341e-01
-7.022880640,1.537671397e-03,7.823186278e-01,7.766309085e-01
-6.990237071,4.212760627e-03,7.746248263e-01,7.689964702e-01
