figure_ref,series,slit_separation_fs,rise_10_90_fs,decay_tau_fs,peak_delay_fs,error
Extended_Fig_1b,raw,-2401.33333333327,2500.367428707097,297.07500010076546,2243.18440755306,
Extended_Fig_1b,raw,-2201.33333333346,454.0717235325442,307.09308664352477,2043.18440755325,
Extended_Fig_1b,raw,-2001.33333333345,2104.5052994499406,295.8605665577869,1843.18440755343,
Extended_Fig_1b,raw,-1800.66666666675,1902.093384316355,291.0313683986008,1643.18440755361,
Extended_Fig_1b,raw,-1600.66666666674,1707.519701088235,300.3918121448924,1443.18440755379,
Extended_Fig_1b,raw,-1400.66666666674,1501.78852460815,305.8459806336813,1243.18440755397,
Extended_Fig_1b,raw,-1200.66666666673,1275.016496604218,295.22886029559453,1043.18440755416,
Extended_Fig_1b,raw,-1000.66666666672,945.2374637781468,305.89651077873947,776.517740887735,
Extended_Fig_1b,raw,-800.666666666719,533.654860147122,381.4815820365089,309.851074221493,
Extended_Fig_1b,raw,-600.666666666711,486.4866996685146,349.3015871113423,243.184407554887,
Extended_Fig_1b,raw,-400.666666666704,450.2039068412204,311.8937863276058,176.517740888281,
Extended_Fig_1b,raw,-200.666666666696,447.640390089286,324.6536423267363,43.1844075550695,
Extended_Fig_1b,raw,0.0,481.3012663292193,350.8320447931317,-90.1489257781425,
Extended_Fig_1b,raw,200.666666666696,507.91756815707936,419.1119858721608,-290.14892577796,
Extended_Fig_1b,raw,400.666666666704,440.35098202394056,525.7001031492068,-556.815592444384,
Extended_Fig_1b,raw,600.666666666711,443.4321404844769,869.2405970060515,-756.815592444202,
Extended_Fig_1b,raw,801.999999999907,448.76217048912804,1223.5403326744706,-956.815592444021,
Extended_Fig_1b,raw,1001.99999999991,455.12659401484825,1468.7979461903003,-1156.81559244383,
Extended_Fig_1b,raw,1203.99999999998,464.7283685973089,1787.0966771531191,-1356.81559244365,
Extended_Fig_1b,raw,1403.99999999999,471.87595414753537,2223.8384474802315,-1556.81559244347,
Extended_Fig_1b,raw,1604.0,479.0720764476871,2728.819207619273,-1756.81559244329,
Extended_Fig_1b,raw,1804.00000000001,488.83236822113986,3443.856234986485,-1956.81559244311,
Extended_Fig_1b,raw,2006.66666666658,494.622756467269,4086.8630304705425,-2156.81559244292,
Extended_Fig_1b,raw,2205.9999999999,454.9859126638885,4702.045543371795,-2356.81559244274,
Fig_2g,raw,-1500.0,821.6811974523007,396.085299651785,230155.345538699,
Fig_2g,raw,-1450.0,820.1528197308944,394.6188080375536,230155.345538699,
Fig_2g,raw,-1400.0,818.1331754981074,392.65062735870026,230155.345538699,
Fig_2g,raw,-1350.0,815.5867684958212,390.16255690353694,230155.345538699,
Fig_2g,raw,-1300.0,812.5218674426142,387.17925273294503,230155.345538699,
Fig_2g,raw,-1250.0,809.0057269581594,383.7734219961194,230155.345538699,
Fig_2g,raw,-1200.0,805.2063176018419,380.0951849267672,230155.345538699,
Fig_2g,raw,-1150.0,801.3862897856161,376.3617039525791,230155.345538699,
Fig_2g,raw,-1100.0,797.9103066349053,372.87115519160363,230155.345538699,
Fig_2g,raw,-1050.0,795.2266254677961,370.00524887084,230155.345538699,
Fig_2g,raw,-1000.0,793.7151856906712,368.1118563075361,230155.345538699,
Fig_2g,raw,-950.0,793.7722254639375,367.59438910549846,230155.345538699,
Fig_2g,raw,-900.0,795.5522164404101,368.66343976540423,230155.345538699,
Fig_2g,raw,-850.0,799.1622404733498,371.5006349191759,230155.345538699,
Fig_2g,raw,-800.0,804.529497682146,376.1368785504614,230155.345538699,
Fig_2g,raw,-750.0,811.6079702722782,382.6800684577605,230155.345538699,
Fig_2g,raw,-700.0,820.267342270352,391.2676312185748,230155.345538699,
Fig_2g,raw,-650.0,830.3840321881289,402.1915414289741,230155.345538699,
Fig_2g,raw,-600.0,842.1067393940466,416.1490391325941,230155.345538699,
Fig_2g,raw,-550.0,855.5147428972123,433.8386100117293,230155.345538699,
Fig_2g,raw,-500.0,874.7934157623386,408.4166835217551,230155.345538699,
Fig_2g,raw,-450.0,902.361135355517,432.75643991187275,230155.345538699,
Fig_2g,raw,-400.0,930.630937685055,462.5537406888719,230155.345538699,
Fig_2g,raw,-350.0,960.4522165912203,452.4542081832516,230155.345538699,
Fig_2g,raw,-300.0,1007.0116949488001,491.42770845388594,230155.345538699,
Fig_2g,raw,-250.0,1052.8850226083014,494.55238003274565,230155.345538699,
Fig_2g,raw,-200.0,1109.8129630443873,538.4280719303257,230155.345538699,
Fig_2g,raw,-150.0,1163.0654083162954,549.7466011586433,230155.345538699,
Fig_2g,raw,-100.0,1215.8851296918,563.129614320989,230155.345538699,
Fig_2g,raw,-50.0,1252.1409415345406,573.5357828168525,230155.345538699,
Fig_2g,raw,0.0,1257.2937410456652,577.5050943378949,230155.345538699,
Fig_2g,raw,50.0,1250.6502788185026,572.5634743872577,230155.345538699,
Fig_2g,raw,100.0,1213.1259157623863,561.428361792254,230155.345538699,
Fig_2g,raw,150.0,1160.1798878351692,547.5492294606713,230155.345538699,
Fig_2g,raw,200.0,1106.4909519592475,536.2177868901438,230155.345538699,
Fig_2g,raw,250.0,1050.439458689012,492.23724645224536,230155.345538699,
Fig_2g,raw,300.0,1004.7663358113205,489.77744150213346,230155.345538699,
Fig_2g,raw,350.0,959.031045761687,451.11276180272876,230155.345538699,
Fig_2g,raw,400.0,930.1490944269171,462.67209314910474,230155.345538699,
Fig_2g,raw,450.0,902.9871037135308,433.5649053797417,230155.345538699,
Fig_2g,raw,500.0,876.9936715901131,409.99172092607586,230155.345538699,
Fig_2g,raw,550.0,857.7588737542101,437.22918359257,230155.345538699,
Fig_2g,raw,600.0,845.4821707375231,420.3939476182277,230155.345538699,
Fig_2g,raw,650.0,834.9552639705653,407.25127843785145,230155.345538699,
Fig_2g,raw,700.0,825.9932091743103,397.05247653031586,230155.345538699,
Fig_2g,raw,750.0,818.373780771537,389.08737676310193,230155.345538699,
Fig_2g,raw,800.0,812.1624525134685,383.0554918958982,230155.345538699,
Fig_2g,raw,850.0,807.3982804515108,378.75801447183505,230155.345538699,
Fig_2g,raw,900.0,804.1161711505265,376.08225778679576,230155.345538699,
Fig_2g,raw,950.0,802.3718356316385,374.97779109906736,230155.345538699,
