detuning_THz,data,std_pred,cat_pred
-9.185516554,7.074323752e-03,6.848359307e-01,7.015194601e-01
-9.185516554,2.888996717e-01,6.848359307e-01,7.015194601e-01
-9.153589523,4.901304205e-01,6.755647006e-01,6.969710260e-01
-9.153589523,2.812247215e-01,6.755647006e-01,6.969710260e-01
-9.121651956,-3.759398812e-02,6.680258894e-01,6.939312176e-01
-9.121651956,2.683184641e-01,6.680258894e-01,6.939312176e-01
-9.089703848,3.147721351e-02,6.623108741e-01,6.924447616e-01
-9.089703848,2.498219169e-01,6.623108741e-01,6.924447616e-01
-9.057745193,3.576040948e-01,6.584929401e-01,6.925410505e-01
-9.057745193,2.247258568e-01,6.584929401e-01,6.925410505e-01
-9.025775989,2.481193401e-01,6.566264563e-01,6.942337789e-01
-9.025775989,1.883996615e-01,6.566264563e-01,6.942337789e-01
-8.993796228,-1.172945253e-03,6.567462387e-01,6.975207353e-01
-8.993796228,1.380406279e-01,6.567462387e-01,6.975207353e-01
-8.961805908,1.277063631e-01,6.588671080e-01,7.023837512e-01
-8.961805908,5.252871548e-02,6.588671080e-01,7.023837512e-01
-8.929805023,6.108105258e-02,6.629836488e-01,7.087888105e-01
-8.929805023,1.180298438e-01,6.629836488e-01,7.087888105e-01
-8.897793569,2.589414047e-01,6.690701719e-01,7.166863184e-01
-8.897793569,1.108036288e-01,6.690701719e-01,7.166863184e-01
-8.865771540,1.403059735e-01,6.770808838e-01,7.260115270e-01
-8.865771540,1.028864428e-01,6.770808838e-01,7.260115270e-01
-8.833738932,3.511568332e-01,6.869502609e-01,7.366851166e-01
-8.833738932,9.387488467e-02,6.869502609e-01,7.366851166e-01
-8.801695740,-2.441968624e-01,6.985936258e-01,7.486139251e-01
-8.801695740,8.467210168e-02,6.985936258e-01,7.486139251e-01
-8.769641959,3.958050517e-01,7.119079232e-01,7.616918208e-01
-8.769641959,7.801953036e-02,7.119079232e-01,7.616918208e-01
-8.737577585,-1.143697237e-01,7.267726857e-01,7.758007105e-01
-8.737577585,7.524015142e-02,7.267726857e-01,7.758007105e-01
-8.705502613,7.331157560e-02,7.430511825e-01,7.908116725e-01
-8.705502613,8.308866242e-01,7.430511825e-01,7.908116725e-01
-8.673417038,5.484357415e-01,7.605917406e-01,8.065862051e-01
-8.673417038,7.174030838e-02,7.605917406e-01,8.065862051e-01
-8.641320856,6.420402010e-01,7.792292245e-01,8.229775774e-01
-8.641320856,7.217030267e-02,7.792292245e-01,8.229775774e-01
-8.609214061,4.953701835e-01,7.987866617e-01,8.398322707e-01
-8.609214061,7.525869193e-02,7.987866617e-01,8.398322707e-01
-8.577096649,1.494822291e-01,8.190769971e-01,8.569914951e-01
-8.577096649,8.003052155e-02,8.190769971e-01,8.569914951e-01
-8.544968614,-2.775987843e-01,8.399049599e-01,8.742927679e-01
-8.544968614,8.554918310e-02,8.399049599e-01,8.742927679e-01
-8.512829953,6.029209276e-01,8.610690240e-01,8.915715367e-01
-8.512829953,9.251472480e-02,8.610690240e-01,8.915715367e-01
-8.480680661,1.020054316e-01,8.823634423e-01,9.086628318e-01
-8.480680661,6.771593092e-01,8.823634423e-01,9.086628318e-01
-8.448520732,1.153526356e-01,9.035803354e-01,9.254029318e-01
-8.448520732,5.624067105e-01,9.035803354e-01,9.254029318e-01
-8.416350161,3.289099521e-01,9.245118118e-01,9.416310243e-01
-8.416350161,1.308189575e-01,9.245118118e-01,9.416310243e-01
-8.384168945,6.096182240e-01,9.449520996e-01,9.571908465e-01
-8.384168945,1.476335372e-01,9.449520996e-01,9.571908465e-01
-8.351977079,1.101378368e-01,9.646996677e-01,9.719322867e-01
-8.351977079,1.656472820e-01,9.646996677e-01,9.719322867e-01
-8.319774556,3.430581656e-01,9.835593129e-01,9.857129331e-01
-8.319774556,1.853735219e-01,9.835593129e-01,9.857129331e-01
-8.287561373,5.535409195e-01,1.001344194e+00,9.983995510e-01
-8.287561373,2.052058645e-01,1.001344194e+00,9.983995510e-01
-8.255337525,6.381575654e-01,1.017877788e+00,1.009869475e+00
-8.255337525,2.246075674e-01,1.017877788e+00,1.009869475e+00
-8.223103007,2.439422111e-01,1.032995755e+00,1.020011902e+00
-8.223103007,1.000000000e+00,1.032995755e+00,1.020011902e+00
-8.190857815,2.636231835e-01,1.046547678e+00,1.028729065e+00
-8.190857815,7.107031425e-01,1.046547678e+00,1.028729065e+00
-8.158601943,7.257997534e-01,1.058398677e+00,1.035937288e+00
-8.158601943,2.823726706e-01,1.058398677e+00,1.035937288e+00
-8.126335386,9.996100455e-01,1.068430867e+00,1.041567897e+00
-8.126335386,2.999281771e-01,1.068430867e+00,1.041567897e+00
-8.094058140,3.229141486e-01,1.076544645e+00,1.045567984e+00
-8.094058140,3.165422177e-01,1.076544645e+00,1.045567984e+00
-8.061770200,2.390187002e-01,1.082659803e+00,1.047901015e+00
-8.061770200,3.319737399e-01,1.082659803e+00,1.047901015e+00
-8.029471561,7.260753465e-01,1.086716435e+00,1.048547273e+00
-8.029471561,3.448721842e-01,1.086716435e+00,1.048547273e+00
-7.997162218,5.684887777e-01,1.088675647e+00,1.047504132e+00
-7.997162218,3.564701712e-01,1.088675647e+00,1.047504132e+00
-7.964842167,3.068455421e-01,1.088520049e+00,1.044786159e+00
-7.964842167,3.677836748e-01,1.088520049e+00,1.044786159e+00
-7.932511403,3.787306454e-01,1.086254031e+00,1.040425038e+00
-7.932511403,4.626242998e-01,1.086254031e+00,1.040425038e+00
-7.900169920,5.073762488e-01,1.081903806e+00,1.034469319e+00
-7.900169920,3.856160104e-01,1.081903806e+00,1.034469319e+00
-7.867817714,6.475245179e-01,1.075517237e+00,1.026983999e+00
-7.867817714,3.873849099e-01,1.075517237e+00,1.026983999e+00
-7.835454780,5.630094689e-01,1.067163433e+00,1.018049920e+00
-7.835454780,3.863740309e-01,1.067163433e+00,1.018049920e+00
-7.803081114,3.391643014e-01,1.056932120e+00,1.007763016e+00
-7.803081114,3.845598263e-01,1.056932120e+00,1.007763016e+00
-7.770696710,1.932625453e-01,1.044932802e+00,9.962333908e-01
-7.770696710,3.819421703e-01,1.044932802e+00,9.962333908e-01
-7.738301563,3.840520771e-01,1.031293704e+00,9.835842521e-01
-7.738301563,3.808736583e-01,1.031293704e+00,9.835842521e-01
-7.705895670,3.836960399e-01,1.016160523e+00,9.699507007e-01
-7.705895670,3.438771227e-01,1.016160523e+00,9.699507007e-01
-7.673479024,3.872357874e-01,9.996949804e-01,9.554783959e-01
-7.673479024,-6.258163500e-02,9.996949804e-01,9.554783959e-01
-7.641051620,5.045707841e-01,9.820732142e-01,9.403221036e-01
-7.641051620,3.891663830e-01,9.820732142e-01,9.403221036e-01
-7.608613456,2.786951781e-02,9.634839994e-01,9.246441437e-01
-7.608613456,3.895428459e-01,9.634839994e-01,9.246441437e-01
-7.576164524,2.179369864e-01,9.441268364e-01,9.086127522e-01
-7.576164524,3.867945959e-01,9.441268364e-01,9.086127522e-01
-7.543704821,1.255154670e-01,9.242099145e-01,8.924003748e-01
-7.543704821,3.796313755e-01,9.242099145e-01,8.924003748e-01
-7.511234341,1.021840800e-01,9.039479760e-01,8.761819081e-01
-7.511234341,3.702974521e-01,9.039479760e-01,8.761819081e-01
-7.478753080,1.729278231e-01,8.835601004e-01,8.601329070e-01
-7.478753080,3.555740535e-01,8.835601004e-01,8.601329070e-01
-7.446261032,3.168173257e-02,8.632674333e-01,8.444277769e-01
-7.446261032,3.356264321e-01,8.632674333e-01,8.444277769e-01
-7.413758193,3.143904278e-01,8.432908813e-01,8.292379685e-01
-7.413758193,4.449238781e-01,8.432908813e-01,8.292379685e-01
-7.381244559,8.431345691e-02,8.238488000e-01,8.147301948e-01
-7.381244559,2.918733691e-01,8.238488000e-01,8.147301948e-01
-7.348720123,1.327839471e-01,8.051546957e-01,8.010646882e-01
-7.348720123,2.649762668e-01,8.051546957e-01,8.010646882e-01
-7.316184882,3.651920310e-01,7.874149679e-01,7.883935161e-01
-7.316184882,2.381443432e-01,7.874149679e-01,7.883935161e-01
-7.283638830,1.749567601e-01,7.708267151e-01,7.768589730e-01
-7.283638830,2.175780780e-01,7.708267151e-01,7.768589730e-01
-7.251081962,3.724739001e-01,7.555756278e-01,7.665920666e-01
-7.251081962,2.035113556e-01,7.555756278e-01,7.665920666e-01
-7.218514274,3.968841863e-01,7.418339908e-01,7.577111124e-01
-7.218514274,1.914671900e-01,7.418339908e-01,7.577111124e-01
-7.185935761,1.412830394e-01,7.297588174e-01,7.503204547e-01
-7.185935761,1.793529192e-01,7.297588174e-01,7.503204547e-01
-7.153346417,1.650260348e-01,7.194901350e-01,7.445093257e-01
-7.153346417,3.899646348e-01,7.194901350e-01,7.445093257e-01
-7.120746238,5.985623827e-01,7.111494414e-01,7.403508561e-01
-7.120746238,1.484370284e-01,7.111494414e-01,7.403508561e-01
-7.088135219,1.699483385e-01,7.048383488e-01,7.379012487e-01
-7.088135219,1.313152907e-01,7.048383488e-01,7.379012487e-01
-7.055513354,3.214559210e-01,7.006374313e-01,7.371991244e-01
-7.055513354,1.162221357e-01,7.006374313e-01,7.371991244e-01
-7.022880640,1.708068807e-01,6.986052883e-01,7.382650472e-01
-7.022880640,1.033236960e-01,6.986052883e-01,7.382650472e-01
-6.990237071,4.909878178e-01,6.987778365e-01,7.411012363e-01
-6.990237071,9.116005422e-02,6.987778365e-01,7.411012363e-01
-6.957582642,7.444526808e-01,7.011678365e-01,7.456914673e-01
-6.957582642,8.200143409e-02,7.011678365e-01,7.456914673e-01
-6.924917349,1.433471737e-01,7.057646640e-01,7.520011653e-01
-6.924917349,7.791521117e-02,7.057646640e-01,7.520011653e-01
-6.892241186,7.545636288e-02,7.125343254e-01,7.599776907e-01
-6.892241186,4.505301644e-01,7.125343254e-01,7.599776907e-01
-6.859554148,5.822864155e-01,7.214197221e-01,7.695508142e-01
-6.859554148,7.039280342e-02,7.214197221e-01,7.695508142e-01
-6.826856231,3.418193390e-01,7.323411603e-01,7.806333790e-01
-6.826856231,6.260610261e-02,7.323411603e-01,7.806333790e-01
-6.794147429,6.070695819e-01,7.451971031e-01,7.931221421e-01
-6.794147429,5.768621985e-02,7.451971031e-01,7.931221421e-01
-6.761427738,1.984555896e-01,7.598651574e-01,8.068987887e-01
-6.761427738,5.983882650e-02,7.598651574e-01,8.068987887e-01
-6.728697152,5.712717361e-01,7.762032871e-01,8.218311090e-01
-6.728697152,6.554756952e-02,7.762032871e-01,8.218311090e-01
-6.695955668,4.730340795e-01,7.940512407e-01,8.377743265e-01
-6.695955668,7.208808395e-02,7.940512407e-01,8.377743265e-01
-6.663203279,3.981840005e-01,8.132321790e-01,8.545725636e-01
-6.663203279,8.118207032e-02,8.132321790e-01,8.545725636e-01
-6.630439980,9.158150649e-02,8.335544874e-01,8.720604318e-01
-6.630439980,3.064268916e-01,8.335544874e-01,8.720604318e-01
-6.597665768,4.488196311e-01,8.548137532e-01,8.900647279e-01
-6.597665768,1.009391438e-01,8.548137532e-01,8.900647279e-01
-6.564880637,6.159834373e-01,8.767948888e-01,9.084062215e-01
-6.564880637,1.086420105e-01,8.767948888e-01,9.084062215e-01
-6.532084581,5.416331447e-01,8.992743793e-01,9.269015135e-01
-6.532084581,1.205618930e-01,8.992743793e-01,9.269015135e-01
-6.499277597,4.812736245e-01,9.220226289e-01,9.453649472e-01
-6.499277597,1.371839560e-01,9.220226289e-01,9.453649472e-01
-6.466459678,5.715781786e-01,9.448063847e-01,9.636105527e-01
-6.466459678,1.552156478e-01,9.448063847e-01,9.636105527e-01
-6.433630821,5.360819341e-01,9.673912101e-01,9.814540028e-01
-6.433630821,1.752424181e-01,9.673912101e-01,9.814540028e-01
-6.400791019,7.183259156e-01,9.895439823e-01,9.987145612e-01
-6.400791019,2.012007203e-01,9.895439823e-01,9.987145612e-01
-6.367940269,2.286551235e-01,1.011035388e+00,1.015217002e+00
-6.367940269,6.256115235e-01,1.011035388e+00,1.015217002e+00
-6.335078565,2.999311669e-01,1.031642387e+00,1.030793479e+00
-6.335078565,2.552733011e-01,1.031642387e+00,1.030793479e+00
-6.302205902,4.556046765e-01,1.051150629e+00,1.045285329e+00
-6.302205902,2.798375014e-01,1.051150629e+00,1.045285329e+00
-6.269322275,5.595057456e-01,1.069356771e+00,1.058544777e+00
-6.269322275,3.083987770e-01,1.069356771e+00,1.058544777e+00
-6.236427679,5.947885672e-01,1.086070712e+00,1.070436551e+00
-6.236427679,3.409112802e-01,1.086070712e+00,1.070436551e+00
-6.203522110,3.325369593e-01,1.101117668e+00,1.080839353e+00
-6.203522110,3.744069645e-01,1.101117668e+00,1.080839353e+00
-6.170605561,7.728386997e-01,1.114340119e+00,1.089647199e+00
-6.170605561,4.063725676e-01,1.114340119e+00,1.089647199e+00
-6.137678029,5.487096855e-01,1.125599559e+00,1.096770608e+00
-6.137678029,4.365613352e-01,1.125599559e+00,1.096770608e+00
-6.104739508,4.687023054e-01,1.134778059e+00,1.102137604e+00
-6.104739508,5.233016517e-01,1.134778059e+00,1.102137604e+00
-6.071789993,4.450772041e-01,1.141779618e+00,1.105694556e+00
-6.071789993,5.045481551e-01,1.141779618e+00,1.105694556e+00
-6.038829479,6.343448095e-01,1.146531277e+00,1.107406814e+00
-6.038829479,5.381554521e-01,1.146531277e+00,1.107406814e+00
-6.005857961,5.584517680e-01,1.148983993e+00,1.107259153e+00
-6.005857961,5.691162370e-01,1.148983993e+00,1.107259153e+00
-5.972875435,2.574330969e-01,1.149113263e+00,1.105256010e+00
-5.972875435,5.970590063e-01,1.149113263e+00,1.105256010e+00
-5.939881894,4.740839590e-01,1.146919482e+00,1.101421509e+00
-5.939881894,6.200015632e-01,1.146919482e+00,1.101421509e+00
-5.906877335,4.708744060e-01,1.142428030e+00,1.095799285e+00
-5.906877335,6.305538054e-01,1.142428030e+00,1.095799285e+00
-5.873861751,6.286008832e-01,1.135689105e+00,1.088452093e+00
-5.873861751,4.971022850e-01,1.135689105e+00,1.088452093e+00
-5.840835139,3.454737807e-01,1.126777264e+00,1.079461214e+00
-5.840835139,6.194111475e-01,1.126777264e+00,1.079461214e+00
-5.807797493,3.743609987e-01,1.115790721e+00,1.068925656e+00
-5.807797493,6.031527084e-01,1.115790721e+00,1.068925656e+00
-5.774748808,3.972915065e-01,1.102850371e+00,1.056961170e+00
-5.774748808,5.793517161e-01,1.102850371e+00,1.056961170e+00
-5.741689078,2.656902135e-01,1.088098572e+00,1.043699077e+00
-5.741689078,5.588496294e-01,1.088098572e+00,1.043699077e+00
-5.708618300,1.904934246e-01,1.071697683e+00,1.029284924e+00
-5.708618300,5.434689988e-01,1.071697683e+00,1.029284924e+00
-5.675536468,1.915272692e-01,1.053828382e+00,1.013876982e+00
-5.675536468,5.334016495e-01,1.053828382e+00,1.013876982e+00
-5.642443576,2.238751120e-01,1.034687780e+00,9.976446044e-01
-5.642443576,5.252785049e-01,1.034687780e+00,9.976446044e-01
-5.609339620,5.220055570e-01,1.014487345e+00,9.807664529e-01
-5.609339620,9.419556778e-03,1.014487345e+00,9.807664529e-01
-5.576224595,2.319977306e-02,9.934506578e-01,9.634286218e-01
-5.576224595,5.236869810e-01,9.934506578e-01,9.634286218e-01
-5.543098496,2.641200963e-01,9.718110334e-01,9.458226702e-01
-5.543098496,5.259612335e-01,9.718110334e-01,9.458226702e-01
-5.509961317,-4.373360797e-02,9.498090210e-01,9.281435892e-01
-5.509961317,5.217857249e-01,9.498090210e-01,9.281435892e-01
-5.476813054,-2.202595515e-02,9.276898153e-01,9.105877218e-01
-5.476813054,5.092244986e-01,9.276898153e-01,9.105877218e-01
-5.443653701,1.008894228e-01,9.057006056e-01,8.933506594e-01
-5.443653701,4.866755948e-01,9.057006056e-01,8.933506594e-01
-5.410483254,1.247775597e-01,8.840878920e-01,8.766251377e-01
-5.410483254,4.590980555e-01,8.840878920e-01,8.766251377e-01
-5.377301707,4.231147981e-01,8.630947966e-01,8.605989530e-01
-5.377301707,1.234332882e-01,8.630947966e-01,8.605989530e-01
-5.344109055,3.798333236e-01,8.429584003e-01,8.454529234e-01
-5.344109055,3.081035364e-02,8.429584003e-01,8.454529234e-01
-5.310905294,5.341677990e-02,8.239071330e-01,8.313589157e-01
-5.310905294,3.410821851e-01,8.239071330e-01,8.313589157e-01
-5.277690418,2.280385989e-01,8.061582480e-01,8.184779604e-01
-5.277690418,3.115298591e-01,8.061582480e-01,8.184779604e-01
-5.244464422,2.065582931e-01,7.899154067e-01,8.069584754e-01
-5.244464422,2.848545615e-01,7.899154067e-01,8.069584754e-01
-5.211227301,7.816658684e-02,7.753664015e-01,7.969346175e-01
-5.211227301,2.587721757e-01,7.753664015e-01,7.969346175e-01
-5.177979049,7.568563917e-02,7.626810430e-01,7.885247821e-01
-5.177979049,2.363346933e-01,7.626810430e-01,7.885247821e-01
-5.144719663,2.779745930e-01,7.520092344e-01,7.818302654e-01
-5.144719663,2.182827237e-01,7.520092344e-01,7.818302654e-01
-5.111449136,3.190287266e-01,7.434792566e-01,7.769341066e-01
-5.111449136,2.033699595e-01,7.434792566e-01,7.769341066e-01
-5.078167464,1.977614495e-01,7.371962818e-01,7.739001223e-01
-5.078167464,2.115272288e-01,7.371962818e-01,7.739001223e-01
-5.044874642,2.022992416e-01,7.332411357e-01,7.727721454e-01
-5.044874642,9.908437918e-02,7.332411357e-01,7.727721454e-01
-5.011570664,2.023104696e-01,7.316693211e-01,7.735734771e-01
-5.011570664,2.010415768e-01,7.316693211e-01,7.735734771e-01
-4.978255525,1.748935373e-01,7.325103154e-01,7.763065590e-01
-4.978255525,1.930607327e-01,7.325103154e-01,7.763065590e-01
-4.944929221,1.945610034e-01,7.357671522e-01,7.809528710e-01
-4.944929221,1.897804117e-01,7.357671522e-01,7.809528710e-01
-4.911591745,2.412888194e-01,7.414162915e-01,7.874730554e-01
-4.911591745,1.878015652e-01,7.414162915e-01,7.874730554e-01
-4.878243094,3.431653808e-01,7.494077821e-01,7.958072694e-01
-4.878243094,1.698053321e-01,7.494077821e-01,7.958072694e-01
-4.844883261,2.288850858e-01,7.596657163e-01,8.058757602e-01
-4.844883261,1.413550465e-01,7.596657163e-01,8.058757602e-01
-4.811512243,2.371751747e-01,7.720889723e-01,8.175796611e-01
-4.811512243,1.240643462e-01,7.720889723e-01,8.175796611e-01
-4.778130033,1.205375503e-01,7.865522383e-01,8.308019981e-01
-4.778130033,3.992347991e-01,7.865522383e-01,8.308019981e-01
-4.744736626,3.401842999e-01,8.029073082e-01,8.454088980e-01
-4.744736626,1.124208147e-01,8.029073082e-01,8.454088980e-01
-4.711332018,3.979735337e-01,8.209846358e-01,8.612509868e-01
-4.711332018,9.111823989e-02,8.209846358e-01,8.612509868e-01
-4.677916203,4.757074672e-01,8.405951313e-01,8.781649626e-01
-4.677916203,7.177832972e-02,8.405951313e-01,8.781649626e-01
-4.644489176,5.727035781e-01,8.615321826e-01,8.959753275e-01
-4.644489176,6.775290737e-02,8.615321826e-01,8.959753275e-01
-4.611050932,5.217101178e-01,8.835738777e-01,9.144962600e-01
-4.611050932,6.495536189e-02,8.835738777e-01,9.144962600e-01
-4.577601466,5.092137491e-01,9.064854078e-01,9.335336083e-01
-4.577601466,5.818400581e-02,9.064854078e-01,9.335336083e-01
-4.544140773,6.241732948e-02,9.300216222e-01,9.528869832e-01
-4.544140773,5.319772378e-01,9.300216222e-01,9.528869832e-01
-4.510668847,8.297748366e-02,9.539297094e-01,9.723519280e-01
-4.510668847,5.456261542e-01,9.539297094e-01,9.723519280e-01
-4.477185683,4.597708093e-01,9.779519742e-01,9.917221424e-01
-4.477185683,1.137150344e-01,9.779519742e-01,9.917221424e-01
-4.443691277,6.331286462e-01,1.001828681e+00,1.010791735e+00
-4.443691277,1.464669230e-01,1.001828681e+00,1.010791735e+00
-4.410185623,4.502031827e-01,1.025300932e+00,1.029357483e+00
-4.410185623,1.860429910e-01,1.025300932e+00,1.029357483e+00
-4.376668716,5.174170380e-01,1.048113546e+00,1.047221069e+00
-4.376668716,2.352728592e-01,1.048113546e+00,1.047221069e+00
-4.343140550,5.592519848e-01,1.070017912e+00,1.064191275e+00
-4.343140550,2.806023895e-01,1.070017912e+00,1.064191275e+00
-4.309601121,6.204257250e-01,1.090774779e+00,1.080086109e+00
-4.309601121,3.214965637e-01,1.090774779e+00,1.080086109e+00
-4.276050424,5.362537149e-01,1.110156948e+00,1.094734833e+00
-4.276050424,3.642217972e-01,1.110156948e+00,1.094734833e+00
-4.242488452,4.005185284e-01,1.127951853e+00,1.107979886e+00
-4.242488452,6.618879368e-01,1.127951853e+00,1.107979886e+00
-4.208915202,6.496557913e-01,1.143963979e+00,1.119678658e+00
-4.208915202,4.204830889e-01,1.143963979e+00,1.119678658e+00
-4.175330668,6.741849178e-01,1.158017101e+00,1.129705115e+00
-4.175330668,4.390122818e-01,1.158017101e+00,1.129705115e+00
-4.141734844,5.957547486e-01,1.169956321e+00,1.137951244e+00
-4.141734844,4.645560596e-01,1.169956321e+00,1.137951244e+00
-4.108127726,6.511917072e-01,1.179649872e+00,1.144328307e+00
-4.108127726,4.831581563e-01,1.179649872e+00,1.144328307e+00
-4.074509308,5.996382702e-01,1.186990668e+00,1.148767885e+00
-4.074509308,4.918638530e-01,1.186990668e+00,1.148767885e+00
-4.040879585,4.118033743e-01,1.191897589e+00,1.151222703e+00
-4.040879585,5.064610747e-01,1.191897589e+00,1.151222703e+00
-4.007238553,5.365053332e-01,1.194316481e+00,1.151667225e+00
-4.007238553,5.314095618e-01,1.194316481e+00,1.151667225e+00
