detune_THz,I_norm
-9.866666666598968405e+00,7.184420651492609000e-01
-9.699999999932250816e+00,4.103022260903373963e-01
-9.533333333265531451e+00,1.475349679303960271e-01
-9.366666666598844060e+00,3.777762848224577169e-02
-9.199999999932124695e+00,2.673418114064157400e-02
-9.033333333265407106e+00,9.939489655115447964e-02
-8.866666666598687740e+00,1.808271885865010420e-01
-8.699999999931968375e+00,2.417433961423320621e-01
-8.533333333265250786e+00,2.446629482437777114e-01
-8.366666666598531421e+00,2.109276872957832338e-01
-8.199999999931812056e+00,1.569117528810812512e-01
-8.033333333265094467e+00,1.152250152144012468e-01
-7.866666666598375102e+00,1.785362968754021784e-01
-7.699999999931656625e+00,3.475777421352558294e-01
-7.533333333264937259e+00,6.285213497171153740e-01
-7.366666666598218782e+00,8.819252319734987022e-01
-7.199999999931500305e+00,1.000000000000000000e+00
-7.033333333264780940e+00,9.092640579408109991e-01
-6.866666666598062463e+00,6.562888662812411678e-01
-6.699999999931343986e+00,3.959002966637353849e-01
-6.533333333264624621e+00,2.712873842495565624e-01
-6.366666666597906143e+00,3.353426665124135675e-01
-6.199999999931187666e+00,5.524909807849816001e-01
-6.033333333264469189e+00,7.483992589542913798e-01
-5.866666666597749824e+00,8.015006335231219525e-01
-5.699999999931031347e+00,6.427182727229072690e-01
-5.533333333264312870e+00,3.790945257969282611e-01
-5.366666666597593505e+00,1.451147092699816565e-01
-5.199999999930875028e+00,4.610109151719684467e-02
-5.033333333264156551e+00,8.745540977591724496e-02
-4.866666666597437185e+00,2.013849110367346984e-01
-4.699999999930718708e+00,3.138522234983477932e-01
-4.533333333264000231e+00,3.123553201041558425e-01
-4.366666666597280866e+00,2.502114734425922027e-01
-4.199999999930562389e+00,1.785969725063994984e-01
-4.033333333263843912e+00,7.217309051980558277e-02
-3.866666666597124991e+00,1.106145879668963238e-02
-3.699999999930406069e+00,1.817166594950050864e-03
-3.533333333263718679e+00,3.443806077084593520e-02
-3.366666666597000201e+00,7.927700607586601889e-02
-3.199999999930281280e+00,1.057416574583165542e-01
-3.033333333263562359e+00,1.006470738935369841e-01
-2.866666666596843882e+00,6.658856997639180098e-02
-2.699999999930124961e+00,2.747535789031449113e-02
-2.533333333263406040e+00,6.263380130711925474e-03
-2.366666666596687563e+00,2.841836368280473753e-03
-2.199999999929968642e+00,2.511514596238142646e-02
-2.033333333263250164e+00,3.642421643033235540e-02
-1.866666666596531243e+00,4.479748312808475713e-02
-1.699999999929812544e+00,4.378598047680467426e-02
-1.533333333263093845e+00,3.938769347531457382e-02
-1.366666666596374924e+00,3.540308071192104639e-02
-1.199999999929656225e+00,3.064699563168789276e-02
