detune_THz,I_norm
-9.866666666598968405e+00,8.323495318210657468e-01
-9.699999999932250816e+00,6.496704916047431055e-01
-9.533333333265531451e+00,4.920867021069779690e-01
-9.366666666598844060e+00,3.710154728225479870e-01
-9.199999999932124695e+00,2.723566072032752583e-01
-9.033333333265407106e+00,1.896240454204358716e-01
-8.866666666598687740e+00,1.547816634310677231e-01
-8.699999999931968375e+00,1.299016259879576807e-01
-8.533333333265250786e+00,1.131439819546170150e-01
-8.366666666598531421e+00,8.891984969234391356e-02
-8.199999999931812056e+00,8.137937224677786741e-02
-8.033333333265094467e+00,8.154814211500784060e-02
-7.866666666598375102e+00,1.345269694216148504e-01
-7.699999999931656625e+00,2.426050040354059689e-01
-7.533333333264937259e+00,4.431221584554630999e-01
-7.366666666598218782e+00,6.310329384118504858e-01
-7.199999999931500305e+00,8.539527996004905308e-01
-7.033333333264780940e+00,1.000000000000000000e+00
-6.866666666598062463e+00,9.605794551964084160e-01
-6.699999999931343986e+00,8.507253586901911691e-01
-6.533333333264624621e+00,6.709116226384645998e-01
-6.366666666597906143e+00,4.710863703243219902e-01
-6.199999999931187666e+00,3.006614616713004229e-01
-6.033333333264469189e+00,2.105174559964727854e-01
-5.866666666597749824e+00,1.619466178046071736e-01
-5.699999999931031347e+00,1.441195677410583020e-01
-5.533333333264312870e+00,1.162850107596628269e-01
-5.366666666597593505e+00,9.314922391831809145e-02
-5.199999999930875028e+00,8.639191838801174583e-02
-5.033333333264156551e+00,1.083661563375707959e-01
-4.866666666597437185e+00,1.518265004561415721e-01
-4.699999999930718708e+00,2.416495774595145973e-01
-4.533333333264000231e+00,2.677127144913604706e-01
-4.366666666597280866e+00,3.056793236039372919e-01
-4.199999999930562389e+00,3.077686492405508067e-01
-4.033333333263843912e+00,2.595249143532352698e-01
-3.866666666597124991e+00,1.914672833922592965e-01
-3.699999999930406069e+00,1.352356873992147102e-01
-3.533333333263718679e+00,6.390042087876160459e-02
-3.366666666597000201e+00,2.645286523862585421e-02
-3.199999999930281280e+00,1.022741197100290357e-02
-3.033333333263562359e+00,1.233131781911897713e-02
-2.866666666596843882e+00,2.670246989647439770e-02
-2.699999999930124961e+00,3.590014270370515265e-02
-2.533333333263406040e+00,4.362246129487903218e-02
-2.366666666596687563e+00,3.855769176715084789e-02
-2.199999999929968642e+00,3.873272188941451200e-02
-2.033333333263250164e+00,3.142270761619297970e-02
-1.866666666596531243e+00,2.659734565231767003e-02
-1.699999999929812544e+00,3.120372261283281892e-02
-1.533333333263093845e+00,3.340613743796003177e-02
-1.366666666596374924e+00,4.615411120008264950e-02
