separation_fs,fringe_std,fringe_cat,theory_1_over_S
200.0,19.9111,19.9111,5
250.0,19.9111,19.9111,4
300.0,19.9111,19.9111,3.33333
350.0,19.9111,19.9111,2.85714
400.0,19.9111,19.9111,2.5
450.0,19.9111,19.9111,2.22222
500.0,19.9111,19.9111,2
550.0,19.9111,19.9111,1.81818
600.0,19.9111,19.9111,1.66667
650.0,19.9111,19.9111,1.53846
700.0,19.9111,19.9111,1.42857
750.0,19.9111,19.9111,1.33333
800.0,19.9111,19.9111,1.25
850.0,19.9111,19.9111,1.17647
900.0,19.9111,19.9111,1.11111
950.0,19.9111,19.9111,1.05263
1000.0,19.9111,19.9111,1
1050.0,19.9111,19.9111,0.952381
1100.0,19.9111,19.9111,0.909091
1150.0,19.9111,19.9111,0.869565
1200.0,19.9111,19.9111,0.833333
1250.0,19.9111,19.9111,0.8
1300.0,19.9111,19.9111,0.769231
1350.0,19.9111,19.9111,0.740741
1400.0,19.9111,19.9111,0.714286
