t_fs,lambda_t,tau_ent_t
-2.999999999999999545e+03,4.750000000000000000e+15,0.000000000000000000e+00
-2.999799999999999727e+03,4.750000000000000000e+15,9.499999999997081890e-01
-2.999599999999999909e+03,4.750000000000000000e+15,1.899999999999416378e+00
-2.999400000000000091e+03,4.750000000000000000e+15,2.849999999999124789e+00
-2.999199999999999818e+03,4.750000000000000000e+15,3.799999999998832756e+00
-2.999000000000000000e+03,4.750000000000000000e+15,4.749999999998540723e+00
-2.998800000000000182e+03,4.750000000000000000e+15,5.699999999998248690e+00
-2.998599999999999909e+03,4.750000000000000000e+15,6.649999999999875122e+00
-2.998399999999999636e+03,4.750000000000000000e+15,7.599999999999583089e+00
-2.998199999999999818e+03,4.750000000000000000e+15,8.549999999999291944e+00
-2.998000000000000000e+03,4.750000000000000000e+15,9.499999999998999911e+00
-2.997800000000000182e+03,4.750000000000000000e+15,1.044999999999870788e+01
-2.997599999999999909e+03,4.750000000000000000e+15,1.139999999999841584e+01
-2.997400000000000091e+03,4.750000000000000000e+15,1.234999999999812381e+01
-2.997199999999999818e+03,4.750000000000000000e+15,1.329999999999975024e+01
-2.997000000000000000e+03,4.750000000000000000e+15,1.424999999999945821e+01
-2.996799999999999727e+03,4.750000000000000000e+15,1.519999999999916618e+01
-2.996599999999999909e+03,4.750000000000000000e+15,1.614999999999887592e+01
-2.996400000000000091e+03,4.750000000000000000e+15,1.709999999999858389e+01
-2.996200000000000273e+03,4.750000000000000000e+15,1.804999999999829186e+01
-2.995999999999999545e+03,4.750000000000000000e+15,1.899999999999991829e+01
-2.995799999999999727e+03,4.750000000000000000e+15,1.994999999999962625e+01
-2.995599999999999909e+03,4.750000000000000000e+15,2.089999999999933422e+01
-2.995400000000000091e+03,4.750000000000000000e+15,2.184999999999904219e+01
-2.995199999999999818e+03,4.750000000000000000e+15,2.279999999999875016e+01
-2.995000000000000000e+03,4.750000000000000000e+15,2.374999999999845812e+01
-2.994800000000000182e+03,4.750000000000000000e+15,2.469999999999816609e+01
-2.994599999999999909e+03,4.750000000000000000e+15,2.564999999999979252e+01
-2.994399999999999636e+03,4.750000000000000000e+15,2.659999999999950049e+01
-2.994199999999999818e+03,4.750000000000000000e+15,2.754999999999920846e+01
-2.994000000000000000e+03,4.750000000000000000e+15,2.849999999999891642e+01
-2.993800000000000182e+03,4.750000000000000000e+15,2.944999999999862439e+01
-2.993599999999999909e+03,4.750000000000000000e+15,3.039999999999833236e+01
-2.993399999999999636e+03,4.750000000000000000e+15,3.134999999999995879e+01
-2.993199999999999818e+03,4.750000000000000000e+15,3.229999999999967031e+01
-2.993000000000000000e+03,4.750000000000000000e+15,3.324999999999938183e+01
-2.992799999999999727e+03,4.750000000000000000e+15,3.419999999999909335e+01
-2.992599999999999909e+03,4.750000000000000000e+15,3.514999999999880487e+01
-2.992400000000000091e+03,4.750000000000000000e+15,3.609999999999851639e+01
-2.992200000000000273e+03,4.750000000000000000e+15,3.704999999999822791e+01
-2.991999999999999545e+03,4.750000000000000000e+15,3.799999999999985789e+01
-2.991799999999999727e+03,4.750000000000000000e+15,3.894999999999956941e+01
-2.991599999999999909e+03,4.750000000000000000e+15,3.989999999999928093e+01
-2.991400000000000091e+03,4.750000000000000000e+15,4.084999999999899245e+01
-2.991199999999999818e+03,4.750000000000000000e+15,4.179999999999870397e+01
-2.991000000000000000e+03,4.750000000000000000e+15,4.274999999999841549e+01
-2.990799999999999727e+03,4.750000000000000000e+15,4.370000000000004547e+01
-2.990599999999999909e+03,4.750000000000000000e+15,4.464999999999975699e+01
-2.990399999999999636e+03,4.750000000000000000e+15,4.559999999999946851e+01
-2.990199999999999818e+03,4.750000000000000000e+15,4.654999999999918003e+01
-2.990000000000000000e+03,4.750000000000000000e+15,4.749999999999889155e+01
-2.989800000000000182e+03,4.750000000000000000e+15,4.844999999999860307e+01
-2.989599999999999909e+03,4.750000000000000000e+15,4.939999999999831459e+01
-2.989399999999999636e+03,4.750000000000000000e+15,5.034999999999994458e+01
-2.989199999999999818e+03,4.750000000000000000e+15,5.129999999999965610e+01
-2.989000000000000000e+03,4.750000000000000000e+15,5.224999999999936762e+01
-2.988799999999999727e+03,4.750000000000000000e+15,5.319999999999907914e+01
-2.988599999999999909e+03,4.750000000000000000e+15,5.414999999999879066e+01
-2.988400000000000091e+03,4.750000000000000000e+15,5.509999999999850218e+01
-2.988200000000000273e+03,4.750000000000000000e+15,5.604999999999821370e+01
-2.988000000000000000e+03,4.750000000000000000e+15,5.699999999999984368e+01
-2.987799999999999727e+03,4.750000000000000000e+15,5.794999999999955520e+01
-2.987599999999999909e+03,4.750000000000000000e+15,5.889999999999926672e+01
-2.987400000000000091e+03,4.750000000000000000e+15,5.984999999999897824e+01
-2.987199999999999818e+03,4.750000000000000000e+15,6.079999999999868976e+01
-2.987000000000000000e+03,4.750000000000000000e+15,6.174999999999840128e+01
-2.986799999999999727e+03,4.750000000000000000e+15,6.270000000000003126e+01
-2.986599999999999909e+03,4.750000000000000000e+15,6.364999999999974278e+01
-2.986400000000000091e+03,4.750000000000000000e+15,6.459999999999945430e+01
-2.986199999999999818e+03,4.750000000000000000e+15,6.554999999999915872e+01
-2.986000000000000000e+03,4.750000000000000000e+15,6.649999999999886313e+01
-2.985800000000000182e+03,4.750000000000000000e+15,6.744999999999856755e+01
-2.985599999999999909e+03,4.750000000000000000e+15,6.839999999999827196e+01
-2.985399999999999636e+03,4.750000000000000000e+15,6.934999999999989484e+01
-2.985199999999999818e+03,4.750000000000000000e+15,7.029999999999959925e+01
-2.985000000000000000e+03,4.750000000000000000e+15,7.124999999999930367e+01
-2.984800000000000182e+03,4.750000000000000000e+15,7.219999999999900808e+01
-2.984599999999999909e+03,4.750000000000000000e+15,7.314999999999871250e+01
-2.984400000000000091e+03,4.750000000000000000e+15,7.409999999999841691e+01
-2.984199999999999818e+03,4.750000000000000000e+15,7.505000000000003979e+01
-2.984000000000000000e+03,4.750000000000000000e+15,7.599999999999974420e+01
-2.983799999999999727e+03,4.750000000000000000e+15,7.694999999999944862e+01
-2.983599999999999909e+03,4.750000000000000000e+15,7.789999999999915303e+01
-2.983400000000000091e+03,4.750000000000000000e+15,7.884999999999885745e+01
-2.983200000000000273e+03,4.750000000000000000e+15,7.979999999999856186e+01
-2.983000000000000000e+03,4.750000000000000000e+15,8.074999999999826628e+01
-2.982799999999999727e+03,4.750000000000000000e+15,8.169999999999988916e+01
-2.982599999999999909e+03,4.750000000000000000e+15,8.264999999999959357e+01
-2.982400000000000091e+03,4.750000000000000000e+15,8.359999999999929798e+01
-2.982199999999999818e+03,4.750000000000000000e+15,8.454999999999900240e+01
-2.982000000000000000e+03,4.750000000000000000e+15,8.549999999999870681e+01
-2.981800000000000182e+03,4.750000000000000000e+15,8.644999999999841123e+01
-2.981600000000000364e+03,4.750000000000000000e+15,8.739999999999811564e+01
-2.981399999999999636e+03,4.750000000000000000e+15,8.834999999999973852e+01
-2.981199999999999818e+03,4.750000000000000000e+15,8.929999999999944293e+01
-2.981000000000000000e+03,4.750000000000000000e+15,9.024999999999914735e+01
-2.980800000000000182e+03,4.750000000000000000e+15,9.119999999999885176e+01
-2.980599999999999909e+03,4.750000000000000000e+15,9.214999999999855618e+01
-2.980400000000000091e+03,4.750000000000000000e+15,9.309999999999826059e+01
-2.980199999999999818e+03,4.750000000000000000e+15,9.404999999999988347e+01
-2.980000000000000000e+03,4.750000000000000000e+15,9.499999999999958789e+01
-2.979799999999999727e+03,4.750000000000000000e+15,9.594999999999929230e+01
-2.979599999999999909e+03,4.750000000000000000e+15,9.689999999999899671e+01
-2.979400000000000091e+03,4.750000000000000000e+15,9.784999999999870113e+01
-2.979200000000000273e+03,4.750000000000000000e+15,9.879999999999840554e+01
-2.979000000000000000e+03,4.750000000000000000e+15,9.974999999999810996e+01
-2.978799999999999727e+03,4.750000000000000000e+15,1.006999999999997328e+02
-2.978599999999999909e+03,4.750000000000000000e+15,1.016499999999994373e+02
-2.978400000000000091e+03,4.750000000000000000e+15,1.025999999999991417e+02
-2.978199999999999818e+03,4.750000000000000000e+15,1.035499999999988461e+02
-2.978000000000000000e+03,4.750000000000000000e+15,1.044999999999985505e+02
-2.977800000000000182e+03,4.750000000000000000e+15,1.054499999999982549e+02
-2.977599999999999909e+03,4.750000000000000000e+15,1.063999999999998778e+02
-2.977399999999999636e+03,4.750000000000000000e+15,1.073499999999995822e+02
-2.977199999999999818e+03,4.750000000000000000e+15,1.082999999999992866e+02
-2.977000000000000000e+03,4.750000000000000000e+15,1.092499999999989910e+02
-2.976800000000000182e+03,4.750000000000000000e+15,1.101999999999986954e+02
-2.976599999999999909e+03,4.750000000000000000e+15,1.111499999999983999e+02
-2.976400000000000091e+03,4.750000000000000000e+15,1.120999999999981043e+02
-2.976199999999999818e+03,4.750000000000000000e+15,1.130499999999997272e+02
-2.976000000000000000e+03,4.750000000000000000e+15,1.139999999999994316e+02
-2.975799999999999727e+03,4.750000000000000000e+15,1.149499999999991360e+02
-2.975599999999999909e+03,4.750000000000000000e+15,1.158999999999988404e+02
-2.975400000000000091e+03,4.750000000000000000e+15,1.168499999999985448e+02
-2.975200000000000273e+03,4.750000000000000000e+15,1.177999999999982492e+02
-2.974999999999999545e+03,4.750000000000000000e+15,1.187499999999998721e+02
-2.974799999999999727e+03,4.750000000000000000e+15,1.196999999999995765e+02
-2.974599999999999909e+03,4.750000000000000000e+15,1.206499999999992809e+02
-2.974400000000000091e+03,4.750000000000000000e+15,1.215999999999989853e+02
-2.974199999999999818e+03,4.750000000000000000e+15,1.225499999999986898e+02
-2.974000000000000000e+03,4.750000000000000000e+15,1.234999999999983942e+02
-2.973800000000000182e+03,4.750000000000000000e+15,1.244499999999980986e+02
-2.973599999999999909e+03,4.750000000000000000e+15,1.253999999999997215e+02
-2.973399999999999636e+03,4.750000000000000000e+15,1.263499999999994259e+02
-2.973199999999999818e+03,4.750000000000000000e+15,1.272999999999991303e+02
-2.973000000000000000e+03,4.750000000000000000e+15,1.282499999999988347e+02
-2.972800000000000182e+03,4.750000000000000000e+15,1.291999999999985391e+02
-2.972599999999999909e+03,4.750000000000000000e+15,1.301499999999982435e+02
-2.972400000000000091e+03,4.750000000000000000e+15,1.310999999999979480e+02
-2.972199999999999818e+03,4.750000000000000000e+15,1.320499999999995850e+02
-2.972000000000000000e+03,4.750000000000000000e+15,1.329999999999992895e+02
-2.971799999999999727e+03,4.750000000000000000e+15,1.339499999999989939e+02
-2.971599999999999909e+03,4.750000000000000000e+15,1.348999999999986983e+02
-2.971400000000000091e+03,4.750000000000000000e+15,1.358499999999984027e+02
-2.971200000000000273e+03,4.750000000000000000e+15,1.367999999999981071e+02
-2.970999999999999545e+03,4.750000000000000000e+15,1.377499999999997442e+02
-2.970799999999999727e+03,4.750000000000000000e+15,1.386999999999994486e+02
-2.970599999999999909e+03,4.750000000000000000e+15,1.396499999999991530e+02
-2.970400000000000091e+03,4.750000000000000000e+15,1.405999999999988574e+02
-2.970199999999999818e+03,4.750000000000000000e+15,1.415499999999985619e+02
-2.970000000000000000e+03,4.750000000000000000e+15,1.424999999999982663e+02
-2.969800000000000182e+03,4.750000000000000000e+15,1.434499999999979707e+02
-2.969599999999999909e+03,4.750000000000000000e+15,1.443999999999996078e+02
-2.969399999999999636e+03,4.750000000000000000e+15,1.453499999999993122e+02
-2.969199999999999818e+03,4.750000000000000000e+15,1.462999999999990166e+02
-2.969000000000000000e+03,4.750000000000000000e+15,1.472499999999987210e+02
-2.968800000000000182e+03,4.750000000000000000e+15,1.481999999999984254e+02
-2.968599999999999909e+03,4.750000000000000000e+15,1.491499999999981299e+02
-2.968399999999999636e+03,4.750000000000000000e+15,1.500999999999997669e+02
-2.968199999999999818e+03,4.750000000000000000e+15,1.510499999999994714e+02
-2.968000000000000000e+03,4.750000000000000000e+15,1.519999999999991758e+02
-2.967799999999999727e+03,4.750000000000000000e+15,1.529499999999988802e+02
-2.967599999999999909e+03,4.750000000000000000e+15,1.538999999999985846e+02
-2.967400000000000091e+03,4.750000000000000000e+15,1.548499999999982890e+02
-2.967200000000000273e+03,4.750000000000000000e+15,1.557999999999979934e+02
-2.967000000000000000e+03,4.750000000000000000e+15,1.567499999999996305e+02
-2.966799999999999727e+03,4.750000000000000000e+15,1.576999999999993349e+02
-2.966599999999999909e+03,4.750000000000000000e+15,1.586499999999990393e+02
-2.966400000000000091e+03,4.750000000000000000e+15,1.595999999999987438e+02
-2.966199999999999818e+03,4.750000000000000000e+15,1.605499999999984482e+02
-2.966000000000000000e+03,4.750000000000000000e+15,1.614999999999981526e+02
-2.965799999999999727e+03,4.750000000000000000e+15,1.624499999999997897e+02
-2.965599999999999909e+03,4.750000000000000000e+15,1.633999999999994941e+02
-2.965400000000000091e+03,4.750000000000000000e+15,1.643499999999991985e+02
-2.965199999999999818e+03,4.750000000000000000e+15,1.652999999999989029e+02
-2.965000000000000000e+03,4.750000000000000000e+15,1.662499999999986073e+02
-2.964800000000000182e+03,4.750000000000000000e+15,1.671999999999983118e+02
-2.964599999999999909e+03,4.750000000000000000e+15,1.681499999999980162e+02
-2.964399999999999636e+03,4.750000000000000000e+15,1.690999999999996533e+02
-2.964199999999999818e+03,4.750000000000000000e+15,1.700499999999993577e+02
-2.964000000000000000e+03,4.750000000000000000e+15,1.709999999999990621e+02
-2.963799999999999727e+03,4.750000000000000000e+15,1.719499999999987665e+02
-2.963599999999999909e+03,4.750000000000000000e+15,1.728999999999984709e+02
-2.963400000000000091e+03,4.750000000000000000e+15,1.738499999999981753e+02
-2.963200000000000273e+03,4.750000000000000000e+15,1.747999999999978797e+02
-2.963000000000000000e+03,4.750000000000000000e+15,1.757499999999995168e+02
-2.962799999999999727e+03,4.750000000000000000e+15,1.766999999999992212e+02
-2.962599999999999909e+03,4.750000000000000000e+15,1.776499999999989257e+02
-2.962400000000000091e+03,4.750000000000000000e+15,1.785999999999986301e+02
-2.962199999999999818e+03,4.750000000000000000e+15,1.795499999999983345e+02
