wavelength_nm,v_g_over_c,enhancement,V_standard,V_enz
9.000000000000000000e+02,8.141567396209008489e-01,1.228264720213007255e+00,4.493289641172215632e-01,3.743321492220693103e-01
9.022044088176352261e+02,8.131405707554761886e-01,1.229799663139321320e+00,4.493289641172215632e-01,3.738727685414114932e-01
9.044088176352705659e+02,8.121206398347523558e-01,1.231344151287026456e+00,4.493289641172215632e-01,3.734111001688689147e-01
9.066132264529057920e+02,8.110969326667021306e-01,1.232898263728143595e+00,4.493289641172215632e-01,3.729471303839818619e-01
9.088176352705411318e+02,8.100694349348812606e-01,1.234462080501021131e+00,4.493289641172215632e-01,3.724808453362370431e-01
9.110220440881763579e+02,8.090381321969701833e-01,1.236035682625325149e+00,4.493289641172215632e-01,3.720122310435164392e-01
9.132264529058115841e+02,8.080030098832962082e-01,1.237619152117310550e+00,4.493289641172215632e-01,3.715412733905239517e-01
9.154308617234469239e+02,8.069640532953307188e-01,1.239212572005388369e+00,4.493289641172215632e-01,3.710679581271886240e-01
9.176352705410821500e+02,8.059212476041640594e-01,1.240816026345987977e+00,4.493289641172215632e-01,3.705922708670442156e-01
9.198396793587173761e+02,8.048745778489557745e-01,1.242429600239730592e+00,4.493289641172215632e-01,3.701141970855834629e-01
9.220440881763527159e+02,8.038240289353613122e-01,1.244053379847909424e+00,4.493289641172215632e-01,3.696337221185902466e-01
9.242484969939879420e+02,8.027695856339339686e-01,1.245687452409294238e+00,4.493289641172215632e-01,3.691508311604435599e-01
9.264529058116232818e+02,8.017112325785007432e-01,1.247331906257261425e+00,4.493289641172215632e-01,3.686655092623988828e-01
9.286573146292585079e+02,8.006489542645136570e-01,1.248986830837258477e+00,4.493289641172215632e-01,3.681777413308414126e-01
9.308617234468937340e+02,7.995827350473740935e-01,1.250652316724611968e+00,4.493289641172215632e-01,3.676875121255149259e-01
9.330661322645290738e+02,7.985125591407303824e-01,1.252328455642686134e+00,4.493289641172215632e-01,3.671948062577218286e-01
9.352705410821643000e+02,7.974384106147492934e-01,1.254015340481398288e+00,4.493289641172215632e-01,3.666996081884972836e-01
9.374749498997996398e+02,7.963602733943575540e-01,1.255713065316104826e+00,4.493289641172215632e-01,3.662019022267548052e-01
9.396793587174348659e+02,7.952781312574576100e-01,1.257421725426858483e+00,4.493289641172215632e-01,3.657016725274042090e-01
9.418837675350700920e+02,7.941919678331124111e-01,1.259141417318054623e+00,4.493289641172215632e-01,3.651989030894398081e-01
9.440881763527054318e+02,7.931017665997019961e-01,1.260872238738467876e+00,4.493289641172215632e-01,3.646935777540002421e-01
9.462925851703406579e+02,7.920075108830502142e-01,1.262614288701692011e+00,4.493289641172215632e-01,3.641856802023977213e-01
9.484969939879759977e+02,7.909091838545186937e-01,1.264367667506996362e+00,4.493289641172215632e-01,3.636751939541168488e-01
9.507014028056112238e+02,7.898067685290727225e-01,1.266132476760599035e+00,4.493289641172215632e-01,3.631621023647833568e-01
9.529058116232464499e+02,7.887002477633130448e-01,1.267908819397375764e+00,4.493289641172215632e-01,3.626463886241003132e-01
9.551102204408817897e+02,7.875896042534753505e-01,1.269696799703012857e+00,4.493289641172215632e-01,3.621280357537525751e-01
9.573146292585170158e+02,7.864748205333975672e-01,1.271496523336610895e+00,4.493289641172215632e-01,3.616070266052789361e-01
