Slit_separation_fs,Oscillation_THz,Series
1190.00000000004,0.756001303450517,raw
1089.99999999994,0.938484376697204,raw
990.000000000037,1.00800173793403,raw
889.999999999939,1.1731054708715,raw
790.00000000003,1.2969332705746,raw
689.999999999931,1.47724392628263,raw
590.000000000022,1.69448568014772,raw
489.999999999924,2.04207248633186,raw
390.000000000015,2.58083203591729,raw
-410.000000000015,2.43745247836633,raw
-510.000000000113,1.98993446540425,raw
-610.000000000022,1.69448568014773,raw
-710.000000000121,1.39903689489119,raw
-810.00000000003,1.22524349179912,raw
-910.000000000128,1.08620876932546,raw
-1010.00000000003,0.977587892392918,raw
-1110.00000000013,0.925449871465289,raw
1190.00000000004,0.654998690002176,model
1089.99999999994,0.679998640002256,model
990.000000000037,0.705554144446788,model
889.999999999939,0.72777632222464,model
790.00000000003,0.762498475002534,model
689.999999999931,0.79374841250264,model
590.000000000022,0.822220577780506,model
489.999999999924,0.856248287502847,model
390.000000000015,0.89374821250297,model
-410.000000000015,0.935712414288823,model
-510.000000000113,0.985712314288987,model
-610.000000000022,1.02142652857482,model
-710.000000000121,1.07856927143215,model
-810.00000000003,1.14166438333712,model
-910.000000000128,1.21666423333737,model
-1010.00000000003,1.29999740000432,model
-1110.00000000013,1.39999720000464,model
1190.00000000004,0.823920523823709,fit
1089.99999999994,0.841533749286944,fit
990.000000000037,0.859916472215599,fit
889.999999999939,0.879120246182158,fit
790.00000000003,0.899201335158534,fit
689.999999999931,0.920221264072751,fit
590.000000000022,0.942247448433547,fit
489.999999999924,0.96535391659561,fit
390.000000000015,0.98962214096784,fit
-410.000000000015,1.01514199783017,fit
-510.000000000113,1.04201287958896,fit
-610.000000000022,1.07034498848421,fit
-710.000000000121,1.10026084724956,fit
-810.00000000003,1.13189707039169,fit
-910.000000000128,1.1654064500981,fit
-1010.00000000003,1.20096042396344,fit
-1110.00000000013,1.23875200863941,fit
