separation_fs,mode,param_value,V_paper,V_robust
200,standard,0.0,0.9991723504899324,0.997662889236535
200,coherence,1000000000000.0,0.9957756884433925,0.9933229837319967
200,amplitude,0.1,nan,nan
200,amplitude,0.5,nan,nan
200,amplitude,1.0,nan,nan
200,amplitude,2.0,nan,nan
400,standard,0.0,0.9841210616212563,0.9933381140099099
400,coherence,1000000000000.0,0.7925378785037032,0.9811293483208363
400,amplitude,0.1,nan,nan
400,amplitude,0.5,nan,nan
400,amplitude,1.0,nan,nan
400,amplitude,2.0,nan,nan
600,standard,0.0,0.9687909072436638,0.9939260549935688
600,coherence,1000000000000.0,0.7371238622660748,0.9759025683645257
600,amplitude,0.1,nan,nan
600,amplitude,0.5,nan,nan
600,amplitude,1.0,nan,nan
600,amplitude,2.0,nan,nan
800,standard,0.0,0.9524208783299144,0.9961742739255977
800,coherence,1000000000000.0,0.6155410592688246,0.9849727632666053
800,amplitude,0.1,nan,nan
800,amplitude,0.5,nan,nan
800,amplitude,1.0,nan,nan
800,amplitude,2.0,nan,nan
1000,standard,0.0,0.9170218468601756,0.9978941182876246
1000,coherence,1000000000000.0,0.5081506659972563,0.9903505182868559
1000,amplitude,0.1,nan,nan
1000,amplitude,0.5,nan,nan
1000,amplitude,1.0,nan,nan
1000,amplitude,2.0,nan,nan
1200,standard,0.0,0.8694944784952223,0.9987855458137366
1200,coherence,1000000000000.0,0.42080473148500575,0.9925331141369595
1200,amplitude,0.1,nan,nan
1200,amplitude,0.5,nan,nan
1200,amplitude,1.0,nan,nan
1200,amplitude,2.0,nan,nan
1400,standard,0.0,0.8316677331843536,0.999296067438832
1400,coherence,1000000000000.0,0.3414443864219271,0.9941733459976394
1400,amplitude,0.1,nan,nan
1400,amplitude,0.5,nan,nan
1400,amplitude,1.0,nan,nan
1400,amplitude,2.0,nan,nan
