decay_fs,V_std,V_cat
1.000000000000000000e+02,9.512773231878111080e-01,5.702081214474423732e-01
1.500000000000000000e+02,9.519606032939772478e-01,5.713164741501957078e-01
2.000000000000000000e+02,9.522031095481497953e-01,6.158025178331713034e-01
2.500000000000000000e+02,9.523095276620390237e-01,6.156677369153946699e-01
3.000000000000000000e+02,9.523658493349999032e-01,6.156024588878914461e-01
3.500000000000000000e+02,9.523993322382731108e-01,6.155649164486496350e-01
4.000000000000000000e+02,9.524208783299059622e-01,6.155410592688166371e-01
4.500000000000000000e+02,9.524355676267475257e-01,6.155248989474212395e-01
5.000000000000000000e+02,9.524460341338640834e-01,6.155134320164096229e-01
5.500000000000000000e+02,9.524537565507196213e-01,6.154792285337868929e-01
6.000000000000000000e+02,9.524596178609949781e-01,6.154442551547196771e-01
6.500000000000000000e+02,9.524641720711504167e-01,6.154175530963787999e-01
7.000000000000000000e+02,9.524677811898681901e-01,6.153966139548030512e-01
7.500000000000000000e+02,9.524706899452157760e-01,6.153798484599455332e-01
8.000000000000000000e+02,9.524730686278419789e-01,6.153661967747378059e-01
