separation_fs,freq_THz,I_standard,I_coherence,I_amplitude
4.000000000000000000e+02,2.153333333333994801e+02,9.165201341912197546e-04,9.002197339579280254e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.155000000000661942e+02,8.275941303330569196e-04,8.352611757821867778e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.156666666667329082e+02,6.732127324991785729e-04,7.192315954347132259e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.158333333333996222e+02,4.796127943572079701e-04,5.726748493396488634e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.160000000000663363e+02,2.814333099089394810e-04,4.227118138768384131e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.161666666667330503e+02,1.160380829332069354e-04,2.985966263438716642e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.163333333333997928e+02,1.705926139240383313e-05,2.266630798074694927e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.165000000000665068e+02,8.255444480943199321e-06,2.255172450197621319e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.166666666667332208e+02,9.878058062514762463e-05,3.023343577406522285e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.168333333333999349e+02,2.807710160444319768e-04,4.509701853193029538e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.170000000000666489e+02,5.298006936773508877e-04,6.523173717889182511e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.171666666667333629e+02,8.082819483923137874e-04,8.769673807917359063e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.173333333334001054e+02,1.071377691409634500e-03,1.089838171849239574e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.175000000000668194e+02,1.274526935730879284e-03,1.256064685261862757e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.176666666667335335e+02,1.381352858432841925e-03,1.347188754423500048e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.178333333334002475e+02,1.370585981543908337e-03,1.346578133036251037e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.180000000000669615e+02,1.240729212406375568e-03,1.253078025590485377e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.181666666667336756e+02,1.011513002735616546e-03,1.082150170151623299e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.183333333334004180e+02,7.216948160520627762e-04,8.641505272856651616e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.185000000000671321e+02,4.233701804721654309e-04,6.398765081582062121e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.186666666667338461e+02,1.735826826679801212e-04,4.540000264984759702e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.188333333334005602e+02,2.454020782263394138e-05,3.474096366441215564e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.190000000000672742e+02,1.406850262575136286e-05,3.497384448443056426e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.191666666667339882e+02,1.579929033544593797e-04,4.734012608063516972e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.193333333334007307e+02,4.459084972553259050e-04,7.102839807015872428e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.195000000000674447e+02,8.413001853407387539e-04,1.031837769570134256e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.196666666667341588e+02,1.286276717005987395e-03,1.392784740422742858e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.198333333334008728e+02,1.710394827916641124e-03,1.738025087805468005e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.200000000000675868e+02,2.042301445795268594e-03,2.011750024791745563e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.201666666667343009e+02,2.222345186600096622e-03,2.167313442116629903e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.203333333334010433e+02,2.214013640106364967e-03,2.176184521206781138e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.205000000000677574e+02,2.012109598525052209e-03,2.034347878616892067e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.206666666667344714e+02,1.646001124248493890e-03,1.764847928832441026e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.208333333334011570e+02,1.177019363091658588e-03,1.415752595626883475e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.210000000000678710e+02,6.900290963372606411e-04,1.053555943393611133e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.211666666667345851e+02,2.802117332950488054e-04,7.528335394781851672e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.213333333334012991e+02,3.700935384017173290e-05,5.836757855556115246e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.215000000000680416e+02,2.781838610204220437e-05,5.989253834824742259e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.216666666667347556e+02,2.842636769829774202e-04,8.234346581425213340e-04,0.000000000000000000e+00
4.000000000000000000e+02,2.218333333334014696e+02,7.936575305049308046e-04,1.247381423848549021e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.220000000000681837e+02,1.497557412501914409e-03,1.825141317843537040e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.221666666667348977e+02,2.298262891690790351e-03,2.480374563805328846e-03,0.000000000000000000e+00
