separation_fs,V_standard,V_enz_1500nm
1.000000000000000000e+02,9.048374180359595176e-01,6.723916284406062926e-01
1.095477386934673376e+02,8.962393780438938640e-01,6.473872248805321306e-01
1.190954773869346752e+02,8.877230392395017988e-01,6.233126666233286262e-01
1.286432160804019986e+02,8.792876252732814146e-01,6.001333752682276312e-01
1.381909547738693504e+02,8.709323671728391725e-01,5.778160582905047526e-01
1.477386934673366738e+02,8.626565032727910864e-01,5.563286612232711814e-01
1.572864321608039972e+02,8.544592791453288205e-01,5.356403216174916437e-01
1.668341708542713491e+02,8.463399475314462572e-01,5.157213247141047008e-01
1.763819095477387009e+02,8.382977682728194324e-01,4.965430607645757721e-01
1.859296482412060243e+02,8.303320082443336192e-01,4.780779839385805308e-01
1.954773869346733477e+02,8.224419412872515656e-01,4.602995727597999354e-01
2.050251256281406995e+02,8.146268481430166686e-01,4.431822920130001897e-01
2.145728643216080229e+02,8.068860163876860891e-01,4.267015560676826191e-01
2.241206030150753463e+02,7.992187403669852586e-01,4.108336935656283218e-01
2.336683417085426981e+02,7.916243211319811124e-01,3.955559134216147243e-01
2.432160804020100500e+02,7.841020663753657249e-01,3.808462720884738806e-01
2.527638190954773734e+02,7.766512903683451263e-01,3.666836420394723461e-01
2.623115577889446968e+02,7.692713138981289722e-01,3.530476814227458404e-01
2.718592964824120486e+02,7.619614642060131837e-01,3.399188048442020049e-01
2.814070351758794004e+02,7.547210749260508944e-01,3.272781552369273261e-01
2.909547738693466954e+02,7.475494860243073747e-01,3.151075767766936542e-01
3.005025125628140472e+02,7.404460437386902738e-01,3.033895888046624356e-01
3.100502512562813990e+02,7.334101005193537359e-01,2.921073607198330646e-01
3.195979899497486940e+02,7.264410149696669539e-01,2.812446878051717003e-01
3.291457286432160458e+02,7.195381517877446065e-01,2.707859679526999352e-01
3.386934673366833977e+02,7.127008817085332959e-01,2.607161792541144996e-01
3.482412060301506926e+02,7.059285814464469899e-01,2.510208584247500818e-01
3.577889447236180445e+02,6.992206336385485832e-01,2.416860800298951395e-01
3.673366834170853963e+02,6.925764267882711378e-01,2.326984364836256480e-01
3.768844221105527481e+02,6.859953552096741403e-01,2.240450187914259650e-01
3.864321608040200999e+02,6.794768189722285578e-01,2.157133980089401826e-01
3.959798994974873949e+02,6.730202238461275854e-01,2.076916073902206339e-01
